,专业本科,专业研究生,专业类别,基层工作最低年限,学位要求,学历要求,序号,招录人数,招录机关,招考对象,政治面貌,用人单位(部门),职位代码,职位名称,职位简介,其他条件,备注,gsr_f,gsr_f_no,gsr_m,gsr_m_no,job_no
10,不限,不限,综合管理,二年,学士,本科及以上,11,1,市委宣传部,具有两年以上基层工作经历的人员,中共党员,基层工作处（统战处）,1810011,组织统战员（主任科员及以下）,协调指导下级党组织开展基层党组织建设、党员发展和教育管理，以及基层民主党派无党派人士、党外知识分子的统战工作等。,具有较强的文字表达能力和组织协调能力，具有党务工作经历,,False,0,False,0,1
11,,"文学,公共管理类",综合管理,二年,硕士,硕士研究生及以上,12,1,市委宣传部,具有两年以上基层工作经历的人员,中共党员,干部处,1810012,干部人事管理（主任科员及以下）,参与本市宣传文化系统干部的日常管理，从事文艺人才的管理、服务，调研本市文化事业和文艺人才发展现状，起草调研报告。,有两年以上干部人事人才作经历,熟悉宣传文化领域工作和文化产业发展者优先,False,0,False,0,1
12,法学,"法学类,社会学类,公共管理类",综合管理,二年,学士,本科及以上,13,1,市委宣传部,具有两年以上基层工作经历的人员,中共党员,老干部处,1810013,老干部服务管理（主任科员以下）,参与宣传系统离退休干部工作的组织实施，系统老干部政治待遇工作、党建工作、发挥正能量工作的落实，系统老干部工作的宣传、调研，解答相关政策法律问题，部机关离退休干部的服务管理以及维护老年合法权益等。,,有相关工作经历者优先,False,0,False,0,1
13,公共管理类,公共管理类,综合管理,二年,学士,本科及以上,14,1,市委宣传部,具有两年以上基层工作经历的人员,中共党员,市委外宣办（市政府新闻办）秘书处,1810014,行政事务（副主任科员以下）,参与部门服务保障、会务接待、办公信息化管理及其他行政事务等工作，起草相关文件及工作报告。,,有相关工作经历者优先,False,0,False,0,1
14,"新闻学,法学,中国语言文学类","新闻学,法学类,中国语言文学类",综合管理,二年,学士,本科及以上,15,2,市委宣传部,具有两年以上基层工作经历的人员,中共党员,市委外宣办（市政府新闻办）新闻发布处,1810015,新闻发布与突发事件新闻处置工作（主任科员以下）,参与市政府新闻发布会组织筹备、突发事件新闻应急值守处置等，以及起草相关文件报告等。,本科或研究生阶段所学专业为：外语类专业的亦可,此岗位需节假日值班、夜间出勤等，有相关工作经历者优先。,False,0,False,0,2
15,不限,不限,综合管理,二年,学士,本科及以上,16,2,市委宣传部,具有两年以上基层工作经历的人员,中共党员,市委网信办（市网信办）综合处,1810016,综合管理岗位（主任科员及以下）,承担综合处日常行政工作，包括财务管理、对外联络、内勤工作等,,文学类、管理学类、经济学类、法学类等专业优先，有相关工作经历者优先,False,0,False,0,2
16,,法学类,政法,二年,硕士,硕士研究生及以上,17,1,市委宣传部,具有两年以上基层工作经历的人员,中共党员,市委网信办（市网信办）政策法规处,1810017,综合管理（主任科员及以下）,从事本市互联网信息服务资质的审批，执法监督、诉讼，网络安全和信息化法治、标准建设等工作,熟悉互联网相关法律法规，具有较强的文字表达能力,有法律职业资格证书（A类）者优先；有相关工作经历者优先,False,0,False,0,1
17,"新闻学,法学,经济学","新闻学,法学类,经济学",综合管理,二年,学士,本科及以上,18,1,市委宣传部,具有两年以上基层工作经历的人员,中共党员,市委网信办（市网信办）网络舆情和应急管理处,1810018,网络舆情监测与研判（主任科员以下）,从事涉沪及其他各类重要网络舆情的监看、收集、分析研判，起草与编辑舆情报告，提供决策建议，参与舆情类课题调研与编撰。,,有媒体或舆情工作经验者优先。,False,0,False,0,1
18,新闻传播学类,传播学,综合管理,二年,学士,本科及以上,19,2,市委宣传部,具有两年以上基层工作经历的人员,中共党员,市委网信办（市网信办）网络新闻信息传播处,1810019,新闻信息传播（主任科员以下）,"⑴策划并落实国家网信办和市委、市政府交办的重大主题网络宣传报道工作；⑵围绕全市中心工作，策划并落实相关网络新闻宣传报道工作；⑶联系各区县、各委办局、各媒体，做好网络新闻宣传配套服务工作。""",研究生阶段所学专业为：信息管理方面专业亦可,有相关工作经历者优先,False,0,False,0,2
19,不限,不限,综合管理,二年,学士,本科及以上,20,2,市委宣传部,具有两年以上基层工作经历的人员,中共党员,市委网信办（市网信办）网络管理处,1810020,网络信息内容管理（副主任科员以下）,互联网信息内容管理，参与本市网站、新媒体监看管理和行政执法等工作，起草相关文件及调研报告。,,有法律职业资格证书（A类）者优先；有媒体及互联网相关工作经历者优先；新闻、政治学、法律、计算机等专业优先。需要通宵值班,False,0,False,0,2
20,"电子信息类,计算机类",计算机科学与技术类,信息管理,二年,学士,本科及以上,21,2,市委宣传部,具有两年以上基层工作经历的人员,中共党员,市委网信办（市网信办）网络安全处,1810021,网络安全管理（主任科员以下）,研究并起草本市网络安全方针政策、法规、规定，编制网络安全规划和工作计划，统筹协调本市网络安全建设，指导推进本市党政部门、重点行业网络安全保障工作，协调处置网络安全突发事件，指导推进本市媒体融合发展和新媒体技术应用安全评估。,研究生阶段所学专业为：电子信息方面专业亦可,有相关工作经历者优先,False,0,False,0,2
21,管理学,,综合管理,二年,学士,本科,22,1,市科技工作党委,具有两年以上基层工作经历的人员,不限,妇工委,1810022,妇女工作职位主任科员及以下,开展妇女工作理论和实践研究，策划组织大型活动。,具有管理学专业背景，有2年以上基层工作经历，且承担过重大活动策划和课题研究，具有较强的文字表达能力、沟通和策划能力、综合研究能力。,,False,0,False,0,1
22,不限,不限,综合管理,二年,学士,本科及以上,23,1,市科技工作党委,具有两年以上基层工作经历的人员,中共党员,团工委,1810023,团务干事职位主任科员及以下,指导团的基层组织建设；承担团工委文秘工作，撰写工作报告、讲话稿、会议纪要等；负责开展青年工作课题调研；负责政务信息编发和其他文字工作。,具有较强服务意识和责任意识，执行力较强；具有较强的组织和协调能力；具有较强的调研和文字写作能力；具有处置突发事件的能力。,,False,0,False,0,1
23,"法学类,中国语言文学类,公共管理类","法学类,中国语言文学类,公共管理类",综合管理,二年,学士,本科及以上,24,1,市委信访办,具有两年以上基层工作经历的人员,中共党员,业务处室,1810024,副主任科员及以下,办理人民群众来信，接待人民群众来访，征集人民群众建议，撰写综合信息，协调化解人民内部矛盾。,全日制大学本科以上毕业。熟悉有关法规、政策，具有较强的文字表达、沟通协调能力，熟练掌握计算机操作。,熟练掌握本地语言者优先。,False,0,False,0,1
24,"金融学,经济学,法学",不限,经济管理,二年,学士,本科及以上,25,3,市金融办,具有两年以上基层工作经历的人员,不限,金融业务处室,1810025,主任科员及以下,金融业务管理,综合素质好，责任心强；具有较强的语言表达、沟通协调和文字综合能力；金融专业功底扎实，熟悉金融法律法规和相关国家政策，具有2年以上金融业务相关工作经历，且具有风险防控、法务合规、业务监管等工作经验者优先。,,False,0,False,0,3
25,不限,不限,综合管理,二年,学士,本科及以上,26,1,市社会工作党委,具有两年以上基层工作经历的人员,中共党员,内部处室,1810026,副主任科员及以下,承担“两新”组织党建协调管理工作,有扎实的调查研究能力和较强的综合性文稿起草能力，有一定的领导能力。,,False,0,False,0,1
26,"哲学,法学,中国语言文学类","哲学类,法学,中国语言文学类",综合管理,二年,学士,本科及以上,27,1,市级机关工委,具有两年以上基层工作经历的人员,中共党员,工委办公室,1810027,党务管理主任科员及以下,机关党建工作。,具有较强的文字工作能力。,有从事党建或文字工作经历者优先。,False,0,False,0,1
27,"哲学,法学,中国语言文学类","哲学类,法学,中国语言文学类",综合管理,二年,学士,本科及以上,28,1,市级机关工委,具有两年以上基层工作经历的人员,中共党员,工委宣传部,1810028,党务管理主任科员及以下,机关党建工作。,具有较强的文字工作能力。,有从事党建或文字工作经历者优先。,False,0,False,0,1
28,"哲学类,法学,中国语言文学类","哲学类,法学,中国语言文学类",综合管理,二年,学士,本科及以上,29,1,市级机关工委,具有两年以上基层工作经历的人员,中共党员,工委统战部,1810029,党务管理主任科员及以下,机关党建工作。,具有较强的文字工作能力。,有从事党建或文字工作经历者优先。,False,0,False,0,1
29,,"中国语言文学类,历史学类,图书馆、情报与档案管理类",综合管理,二年,硕士,硕士研究生及以上,30,1,市档案局,具有两年以上基层工作经历的人员,不限,业务指导处,1810030,档案业务指导职位副主任科员,起草、制定本市档案工作行政管理的政策等。,有一定文字功底的同志优先考虑。,,False,0,False,0,1
30,"历史学类,图书情报与档案管理类",历史学类,综合管理,二年,学士,本科及以上,31,1,市档案局,具有两年以上基层工作经历的人员,不限,市档案馆档案接收征集部,1810031,档案征集职位副主任科员及以下,协助开展档案资料征集等。,,,False,0,False,0,1
31,"新闻传播学类,中国语言文学类,历史学类",新闻传播学类,综合管理,二年,学士,本科及以上,32,1,市档案局,具有两年以上基层工作经历的人员,不限,市档案馆档案史料编研部,1810032,档案宣传职位副主任科员及以下,参与网站信息采编及媒体宣传。,较强的策划和文字表达能力，善于沟通。,,False,0,False,0,1
32,"历史学类,中国语言文学类,社会学类",历史学类,综合管理,二年,学士,本科及以上,33,1,市档案局,具有两年以上基层工作经历的人员,不限,市档案馆档案史料编研部,1810033,档案编研职位副主任科员及以下,参与档案史料研究和编撰。,较强的史学研究能力，善于学习，富有创见。,,False,0,False,0,1
33,"文物保护技术,化学工程与工艺",化学工艺,综合管理,二年,学士,本科及以上,34,1,市档案局,具有两年以上基层工作经历的人员,不限,市档案馆档案保护技术部,1810034,档案修复职位副主任科员及以下,参与馆藏破损档案调查、分析统计，负责修裱馆藏破损档案，开展档案修裱科研等工作。,具有文献修复师资格的同志优先考虑。,,False,0,False,0,1
34,"计算机科学与技术,信息安全",计算机科学与技术类,信息管理,二年,学士,本科及以上,35,1,市档案局,具有两年以上基层工作经历的人员,不限,市档案馆档案信息技术部,1810035,计算机系统管理员职位副主任科员及以下,协助管理和维护小型机、服务器等主机和网络设备；管理和维护Unix、Linux系统和数据库系统等；承担计算机机房与基础设施管理工作。,,,False,0,False,0,1
35,计算机类,计算机科学与技术类,综合管理,二年,学士,本科及以上,36,1,市委老干部局,具有两年以上基层工作经历的人员,中共党员,市委老干部局,1810036,办公室科员,负责本市离退休干部信息库的数据采集、汇总和统计分析；负责本市离退休干部信息统计软件的日常维护；指导、督促、检查本市各级老干部工作部门的离退休干部信息统计工作；局机关局域网、互联网的日常管理和维护。,具有较强的计算机网络管理能力和应用操作能力，具有一定的组织、协调能力和文字综合能力。,,False,0,False,0,1
36,,不限,综合管理,二年,硕士,硕士研究生及以上,37,4,市政府办公厅,具有两年以上基层工作经历的人员,中共党员,业务处室,1810037,主任科员及以下,综合岗位,工作严谨细致，责任心强；作风正派，政治意识强；熟悉机关公文办理，具有较强的文稿起草能力；善于沟通、联络，具有较好的组织协调能力；能够熟练掌握计算机应用技术。,,False,0,False,0,4
37,,"应用经济学类,理论经济学类,公共管理类",经济管理,二年,硕士,硕士研究生及以上,38,3,市发展改革委,具有两年以上基层工作经历的人员,不限,委机关业务部门,1810038,经济分析、政策研究与综合改革职位，主任科员及以下,从事经济形势分析与编制社会经济发展年度计划、从事本市经济体制与社会领域的改革、综合协调等工作。,熟悉经济学、统计学、公共管理的基本理论，具有从事经济研究、经济统计、综合改革及相关领域2年及以上工作经历(含2年及以上基层经历)，具有较强的文字综合能力。政治素质好，身体健康。,,False,0,False,0,3
38,,"法学类,社会学类,法学",政法,二年,硕士,硕士研究生及以上,39,2,市发展改革委,具有两年以上基层工作经历的人员,不限,委机关业务部门,1810039,政策法规职位，主任科员及以下,从事涉及发展改革工作领域的法律法规草案及规范性文件起草等工作。,熟悉法学、法律专业知识、行政执法程序，具有从事政策法规及相关领域2年及以上工作经历(含2年及以上基层经历)，具有较强的文字综合能力。政治素质好，身体健康。,,False,0,False,0,2
39,,"产业经济学,理学,工学",综合管理,二年,硕士,硕士研究生及以上,40,3,市发展改革委,具有两年以上基层工作经历的人员,不限,委机关业务部门,1810040,产业发展、能源管理职位，主任科员及以下,参与本市产业发展方面的政策研究、规划编制等工作；从事本市战略性新兴产业发展有关的协调管理、政策研究等工作。,熟悉产业发展、产业政策相关理论知识，具有从事产业政策研究、产业发展管理2年及以上工作经历(含2年及以上基层经历)，具有较强的文字综合能力。,,False,0,False,0,3
40,"行政管理,法学,财务管理","行政管理,会计学,政治学类",综合管理,二年,学士,本科及以上,41,3,市发展改革委,具有两年以上基层工作经历的人员,不限,委机关业务部门,1810041,综合管理职位，主任科员及以下,从事行政、财务管理、干部人事、党务等工作。,熟悉行政管理、财会、人力资源管理等基本理论，具有从事综合行政管理2年及以上工作经历(含2年及以上基层经历)，具有较强的文字综合能力。,,False,0,False,0,3
41,,"计算机科学与技术类,控制科学与工程类",信息管理,二年,硕士,硕士研究生,42,2,市经济信息化委,具有两年以上基层工作经历的人员,不限,信息化推进处,1810042,信息化推进职,从事大数据产业规划、产业推进；智慧城市应用项目规划及推进，数据资源管理。,具备一定数据分析应用能力，文字综合能力较强，大学英语六级以上，具有相关从业经历者优先考虑。,,False,0,False,0,2
42,不限,不限,综合管理,二年,学士,本科及以上,43,1,市经济信息化委,具有两年以上基层工作经历的人员,中共党员,党委办公室,1810043,综合管理职,从事协调、联络、文稿等党建工作。,具有较好的组织协调能力、文字综合能力；大学英语四级以上，具有相关工作经历者优先考虑。,,False,0,False,0,1
43,"经济学类,工商管理类,法学类","应用经济学类,法学类,工商管理类",经济管理,二年,学士,本科及以上,44,1,市经济信息化委,具有两年以上基层工作经历的人员,中共党员,央企服务处,1810044,央企服务职,从事综合文字工作，负责综合协调、企业服务、活动策划等工作。,具有较强的文字综合能力、协调能力，熟悉企业管理运行者优先考虑。,,False,0,False,0,1
44,,"兵器科学与技术类,船舶与海洋工程类,航空宇航科学与技术类",经济管理,二年,硕士,硕士研究生及以上,45,1,市经济信息化委,具有两年以上基层工作经历的人员,中共党员,军工配套处,1810045,军工配套职,从事军民融合产业发展。,具有较强的文字综合能力，组织协调能力，吃苦耐劳精神。具有相关工作经历者优先考虑。,,False,0,False,0,1
45,经济学类,经济学,综合管理,二年,学士,本科及以上,46,1,市商务委,具有两年以上基层工作经历的人员,不限,办公室,1810046,科员及以上,参与采编上报机关政务信息和编发商务专报；参与重要商务工作会议的会务安排；参与政府信息公开、重点工作督办以及机关后勤保障等工作。,具有较好的组织协调、文字综合和实务操作能力。,熟练掌握英语。,False,0,False,0,1
46,经济学类,经济学,经济管理,二年,学士,本科及以上,47,1,市商务委,具有两年以上基层工作经历的人员,不限,市场运行调控处（市副食品管理办公室）,1810047,科员及以上,参与本市食用农产品、肉类食品等重要商品的流通管理；参与本市重要食品的市场预测预警和信息发布；参与组织实施本市农产品流通市场布局规划；参与本市重要商品储备调控和食品流通安全追溯体系建设。,具有较好的组织协调、文字综合和实务操作能力。,熟练掌握英语。,False,0,False,0,1
47,经济学类,经济学,经济管理,二年,学士,本科及以上,48,1,市商务委,具有两年以上基层工作经历的人员,不限,外贸发展处（市机电产品进出口办公室）,1810048,科员及以上,参与本市货物进出口的指导协调和统计监测，参与推进本市贸易方式转变、贸易便利化相关工作；参与广交会、华交会等大型展会的组织、指导和协调等。,具有较好的组织协调、文字综合和实务操作能力。,熟练掌握英语。,False,0,False,0,1
48,经济学类,经济学,经济管理,二年,学士,本科及以上,49,1,市商务委,具有两年以上基层工作经历的人员,不限,市场体系建设处（电子商务处）,1810049,科员及以上,参与推进本市现代市场体系建设和流通产业结构调整；参与推进本市平台经济发展，指导协调本市商品交易市场规划；参与推进本市现代物流业发展、商务领域品牌建设、再生资源回收体系建设等工作。,具有较好的组织协调、文字综合和实务操作能力。,熟练掌握英语。,False,0,False,0,1
49,经济学类,经济学,经济管理,二年,学士,本科及以上,50,1,市商务委,具有两年以上基层工作经历的人员,不限,会展业处,1810050,科员及以上,参与会同有关部门研究起草本市会展业的地方性法规。参与推进本市会展与文化、商业、旅游等产业间的融合发展。参与管理本市国际经贸展览会，指导和扶持重点品牌展会。,具有较好的组织协调、文字综合和实务操作能力。,熟练掌握英语。,False,0,False,0,1
50,,不限,综合管理,二年,硕士,硕士研究生,51,1,市科委,具有两年以上基层工作经历的人员,中共党员,办公室,1810051,办公室文电处理及电子政务主任科员及以下,负责文电处理，文件核稿、归档等相关工作，电子政务工作。协助督查重点工作进展情况。完成领导交办的其他工作。,具有2年以上科技类企事业单位工作经历；熟悉科技工作特点和电子政务工作；具有较好的思想、业务素质和理解能力、应变能力；具有较强的组织协调能力、文字及口头表达能力；具有团队合作精神，相容性好。,,False,0,False,0,1
51,不限,,财务管理,二年,学士,本科,52,1,市科委,具有两年以上基层工作经历的人员,中共党员,办公室,1810052,财务出纳及国资管理职位主任科员及以下,主要承担机关日常的财务出纳工作，负责日常报销，凭证编制；银行账户对账；现金、票据保管；个税、公积金的缴纳；协助财务预决算编制和执行、协助国有资产管理和报表填制；公共机构节能减排等数据统计及领导交办其他工作。,具有中级会计师职称，具有2年以上行政事业单位财务工作经历；具有国资管理工作经验，熟悉行政事业单位财务和国资管理相关规定和流程，有较强的沟通协作能力和软件操作能力。,,False,0,False,0,1
52,,不限,综合管理,二年,硕士,硕士研究生,53,1,市科委,具有两年以上基层工作经历的人员,不限,基地建设与管理处,1810053,研发公共服务平台建设与管理处主任科员及以下,开展研发平台发展规划研究，组织平台建设工作调研，负责平台建设项目实施与管理。,具有科技管理和公共资源管理经历，熟悉科技公共服务政策及具体业务，具有较强的文字和口头能力、组织协调和综合调研能力。,,False,0,False,0,1
53,,不限,综合管理,二年,硕士,硕士研究生及以上,54,1,市科委,具有两年以上基层工作经历的人员,不限,国际合作处,1810054,科技外事管理审批职位主任科员及以下,参与制定并组织实施本市年度国际科技计划，开展国家和本市重大国际科技项目的管理协调，协助办理本市科技外事任务审批审查。,具有理工科专业背景，具有2年以上科技项目管理工作经历。拥有大学英语六级或以上证书。有较强的组织协调能力、文字和口头表达能力。,,False,0,False,0,1
54,,不限,综合管理,二年,硕士,硕士研究生,55,1,市科委,具有两年以上基层工作经历的人员,中共党员,科普工作处,1810055,科学传播研究主任科员及以下,开展科学传播理论和实践研究，起草重要文稿。,具有理工科或教育类专业背景，具有科学传播类课题研究经历，具有较强的文字表达能力、沟通和策划能力、综合研究能力。,,False,0,False,0,1
55,,不限,综合管理,二年,硕士,硕士研究生,56,1,市科委,具有两年以上基层工作经历的人员,不限,基础研究处,1810056,基础项目管理职位主任科员及以下,负责生命领域基础研究项目的组织、管理及相关行政事务。,具有生物科学类专业背景，具有2年以上科研项目管理工作经历；熟悉国家和本市相关科技项目和人才政策，且具有生命科学的研究经历；具有较强的组织协调、综合分析能力；具有较强的文字表达能力、计算机应用能力和英语口头表达能力。,,False,0,False,0,1
56,,不限,综合管理,二年,硕士,硕士研究生,57,1,市科委,具有两年以上基层工作经历的人员,不限,创新服务处,1810057,科技计划项目管理职位主任科员及以下,负责本市支持创新创业相关政策和科技计划的指南编制、组织实施、项目管理、验收总结等工作。完成其他领导交办的工作。,具有理工科专业背景，具有科技管理且从事科技管理及相应领域文字工作经历；熟悉国家和本市现行创新创业相关领域的政策和重大科技项目；具有较强的组织协调能力、文字和口头表达能力；具有团队合作精神，相容性好。,,False,0,False,0,1
57,法学类,法学类,政法,二年,学士,本科及以上,58,2,市民政局,具有两年以上基层工作经历的人员,不限,政策法规处,1810058,主任科员及以下,从事民政立法调研、法律文件起草、审核、法宣工作,通过国家司法考试，具有法律从业工作经历，能够适应高强度工作,本科应为法学类专业，不含马克思主义理论、政治学、公安学类等,False,0,False,0,2
58,"统计学,财政学,会计学","财政学,会计学,统计学",财务管理,二年,学士,本科及以上,59,1,市民政局,具有两年以上基层工作经历的人员,不限,计划财务处,1810059,主任科员及以下,从事财务、会计、审计工作,具有会计(审计）中级以上职称资格，两年以上一线会计或审计工作经历，工作严谨规范、责任心强；能胜任财务、会计、审计等工作,,False,0,False,0,1
59,"社会学类,公共管理类,法学类","社会学类,公共管理类,法学类",综合管理,二年,学士,本科及以上,60,1,市民政局,具有两年以上基层工作经历的人员,不限,社团局综合处,1810060,主任科员及以下,从事政策调研和文稿撰写，参与协调、联系分管社会组织，依法监管,具有较高政策理论水平，较强的组织协调、调研和文字表达能力，能够适应高强度工作,,False,0,False,0,1
60,"文学,哲学,历史学",,综合管理,二年,学士,本科,61,3,市司法局,具有两年以上基层工作经历的人员,中共党员或共青团员,市司法局,1810061,综合管理职位科员,从事综合管理工作,具有国家法律职业资格证书者优先。,,False,0,False,0,3
61,,"文学,哲学,历史学",综合管理,二年,硕士,硕士研究生及以上,62,6,市司法局,具有两年以上基层工作经历的人员,中共党员或共青团员,市司法局,1810062,综合管理职位副主任科员及以上,从事综合管理工作,具有国家法律职业资格证书者优先。,,False,0,False,0,6
62,,"法学类,政治学类,马克思主义理论类",政法,二年,硕士,硕士研究生及以上,63,14,市司法局,具有两年以上基层工作经历的人员,中共党员或共青团员,市司法局,1810063,法律服务管理职位副主任科员及以上,从事法律服务管理工作,具有国家法律职业资格证书。,,False,0,False,0,14
63,"法学类,政治学类,马克思主义理论类",,政法,二年,学士,本科,64,2,市司法局,具有两年以上基层工作经历的人员,中共党员或共青团员,市司法局,1810064,法律服务管理职位科员,从事法律服务管理工作,具有国家法律职业资格证书。,,False,0,False,0,2
64,不限,不限,综合管理,二年,学士,本科及以上,65,2,市财政局,具有两年以上基层工作经历的人员,不限,上海市财政局机关综合处室,1810065,主任科员及以下职位,综合管理岗位,,最低服务年限5年。,False,0,False,0,2
65,"经济学,法学,管理学","经济学,法学,管理学",经济管理,二年,学士,本科及以上,66,8,市财政局,具有两年以上基层工作经历的人员,不限,上海市财政局机关业务处室,1810066,主任科员及以下职位,财政业务管理岗位,,最低服务年限5年,False,0,False,0,8
66,"公共管理类,新闻传播学类,政治学类","政治学类,公共管理类,新闻传播学类",城市建设管理,二年,学士,本科及以上,67,1,市住房和城乡建设委（市建设交通工作党委）,具有两年以上基层工作经历的人员,中共党员,组织处（统战处）,1810067,组织工作主任科员及以下,从事建设交通系统基层党建工作。,具有较强的工作责任心，较好的组织协调能力及文字表达能力，具有基层党务工作经历。,,False,0,False,0,1
67,不限,不限,综合管理,二年,学士,本科及以上,68,1,市住房和城乡建设委（市建设交通工作党委）,具有两年以上基层工作经历的人员,中共党员,干部人事处,1810068,干部人事综合管理主任科员及以下,从事建设交通系统干部人事综合管理工作。,有较强的文字综合能力和组织协调能力，从事过干部人事管理工作优先。,,False,0,False,0,1
68,公共管理类,公共管理类,综合管理,二年,学士,本科及以上,69,1,市住房和城乡建设委（市建设交通工作党委）,具有两年以上基层工作经历的人员,中共党员,老干部处,1810069,综合管理主任科员及以下,从事老干部服务管理工作，指导系统离退休干部生活待遇、信访、信息管理等工作。,熟悉老干部工作，具有较强的责任心、责任感和团队精神，善于沟通，协调；具有较强的组织管理能力，熟悉操作计算机。,,False,0,False,0,1
69,不限,不限,综合管理,二年,学士,本科及以上,70,1,市住房和城乡建设委（市建设交通工作党委）,具有两年以上基层工作经历的人员,中共党员或共青团员,工会（团工委）,1810070,团工委主任科员及以下,联系服务市建设交通行业基础团组织建设；协助团工委书记做好团的基础工作。,热爱共青团事业，有团组织工作经验和社会志愿服务经验者优先；具有较强的组织协调和活动策划能力；具有一定的语言表达和文字写作能力。,,False,0,False,0,1
70,行政管理,,综合管理,二年,学士,本科,71,1,市住房和城乡建设委,具有两年以上基层工作经历的人员,中共党员,办公室,1810071,文秘主任科员及以下,从事文稿起草、文书档案管理、信息报送工作。,熟悉建设管理工作，有较强的文字写作能力，了解机关工作情况。,,False,0,False,0,1
