,专业本科,专业研究生,专业考试,基层工作最低年限,学位要求,学历要求,序号,招录人数,招录机关,招考对象,政治面貌,用人单位(部门),职位代码,职位名称,职位简介,其他条件,备注,gsr_f,gsr_f_no,gsr_m,gsr_m_no,job_no
10,,"新闻学,传播学",综合管理,二年,硕士,硕士研究生及以上,11,1,市档案局,具有两年以上基层工作经历的人员,中共党员,市档案局,1410011,综合规划处,从事档案宣传、材料编辑等工作,善于与媒体沟通交流，有较强的综合协调能力、分析能力和文字工作能力，能承担组织宣传报道工作及编辑、撰写各类材料,,False,0,False,0,1
11,"会计学,财务管理",,财务管理,二年,学士,本科,12,1,市委老干部局,具有两年以上基层工作经历的人员,中共党员,办公室,1410012,科员,负责财务管理、出纳等工作。,持有会计从业资格证书；具备必要的财会专业知识和技能，具有较强的工作责任心和团队协作精神。,,False,0,False,0,1
12,不限,不限,综合管理,二年,学士,本科及以上,13,7,市政府办公厅,具有两年以上基层工作经历的人员,中共党员,业务处室,1410013,主任科员及以下,综合岗位。,工作严谨细致，责任心强；作风正派，政治意识强；熟悉机关公文办理，具有较强的文稿起草能力；善于沟通、联络，具有较好的组织协调能力；能够熟练掌握计算机应用技术。有2年以上基层工作经历。,,False,0,False,0,7
13,,"经济学,公共管理类,社会学类",经济管理,二年,硕士,硕士研究生及以上,14,2,市发展改革委,具有两年以上基层工作经历的人员,不限,委机关业务部门,1410014,经济体制改革与社会管理职位主任科员及以下,从事本市经济体制与社会管理改革有关的研究和协调推进等工作；参与本市经济形势分析、撰写综合文稿等工作；参与本市社会管理有关政策研究、协调管理等工作。,熟悉经济学、社会管理、行政管理等方面的基本理论，具有从事综合改革、经济与社会领域政策研究、经济与社会管理等方面2年以上工作经历（含2年以上基层经历），具有较强的文字综合、经济政策研究等能力；具有一定的上海工作、学习经历，对上海社会、经济发展情况较为熟悉。政治素质好，身体健康。,具有从事综合改革、经济与社会领域政策研究、经济与社会管理等方面2年以上工作经历（含2年以上基层经历）,False,0,False,0,2
14,,"应用经济学类,技术经济及管理",经济管理,二年,硕士,硕士研究生及以上,15,2,市发展改革委,具有两年以上基层工作经历的人员,不限,委机关业务部门,1410015,产业管理职位主任科员及以下,参与本市产业发展（含战略性新兴产业）方面的协调管理、政策研究与起草文稿等工作。,熟悉产业发展、技术经济、战略性新兴产业等方面的专业知识；具有从事相关产业发展规划、产业管理等方面2年以上工作经历（含2年以上基层经历），具有较强的政策研究和协调管理等能力；具有一定的上海工作、学习经历，对上海社会、经济发展情况较为熟悉。政治素质好，身体健康。,具有从事相关产业发展规划、产业管理等方面2年以上工作经历（含2年以上基层经历）,False,0,False,0,2
15,"城乡规划,资源与环境经济学,土地资源管理 ","城市规划与设计,土地资源管理,环境科学与工程类",城市建设管理,二年,学士,本科及以上,16,2,市发展改革委,具有两年以上基层工作经历的人员,不限,委机关业务部门,1410016,城市发展规划与城市管理职位主任科员及以下,参与本市城市发展规划、城市建设管理、生态经济等领域的协调管理、政策研究等工作。,熟悉城市发展、资源综合利用管理、生态经济等方面的专业知识；具有从事城市规划、基础设施建设管理、资源综合利用管理、生态经济等领域2年以上工作经历（含2年以上基层经历），具有较强的政策研究和协调管理等能力；具有一定的上海工作、学习经历，对上海社会、经济发展情况较为熟悉。政治素质好，身体健康。,具有从事城市规划、基础设施建设管理、资源综合利用管理、生态经济等领域2年以上工作经历（含2年以上基层经历）,False,0,False,0,2
16,"财政学类,金融学类,国民经济管理 ","财政学,金融学,区域经济学",经济管理,二年,学士,本科及以上,17,2,市发展改革委,具有两年以上基层工作经历的人员,不限,委机关业务部门,1410017,综合经济管理主任科员及以下,参与本市财政金融协调、利用外资和境外投资、区域经济发展等有关领域的协调管理、政策研究等工作。,熟悉财税金融、区域经济管理、外资管理等方面的专业知识；具有从事财政金融管理、区域经济管理、外资管理等领域2年以上工作经历（含2年以上基层经历），具有较强的文字综合和组织协调等能力；具有一定的上海工作、学习经历，对上海社会、经济发展情况较为熟悉。政治素质好，身体健康。,具有从事财政金融管理、区域经济管理、外资管理等领域2年以上工作经历（含2年以上基层经历）,False,0,False,0,2
17,"会计学,财务管理,财政学类 ",,财务管理,二年,学士,本科,18,3,市发展改革委,具有两年以上基层工作经历的人员,不限,市价格监督检查与反垄断局,1410018,价格监督检查职位科员,参与监督检查行政事业性收费、监督检查经营者执行政府价格政策情况和市场定价商品的价格行为，依法查处价格违法行为等工作。,熟悉价格管理、财会以及与经济相关专业的基本理论，具有财会或审计工作经历，熟悉行政执法工作程序，具有较强的文字综合和协调管理能力；具有一定的上海工作、学习经历，对上海社会、经济发展情况较为熟悉。政治素质好，身体健康。,具有财会或审计工作经历,False,0,False,0,3
18,法学类,法学类,政法,二年,学士,本科及以上,19,4,市发展改革委,具有两年以上基层工作经历的人员,不限,市价格监督检查与反垄断局,1410019,反价格垄断调查职位科员,按照上级主管部门的部署和要求，依法开展对经营者涉嫌价格垄断案件的调查等工作。,熟悉经济法、财会、企业管理等方面的专业知识及相关的法律、法规，熟悉反垄断有关工作，熟悉企业运营模式，具有一定的执法工作经验和相应的外语水平；具有一定的上海工作、学习经历，对上海社会、经济发展情况较为熟悉。政治素质好，身体健康。,具有一定的执法工作经验,False,0,False,0,4
19,"经济学类,会计学","应用经济学类,会计学",经济管理,二年,学士,本科及以上,20,2,市发展改革委,具有两年以上基层工作经历的人员,不限,市价格监测和成本调查队,1410020,成本调查和价格监测职位科员,负责重要商品成本调查、监审工作，为政府宏观经济调控和价格管理提供基础数据；负责重要商品和服务价格的监测工作，实施价格监测报告制度，开展价格预测、预警并适时提出政策建议。,熟悉经济学、会计学等的基本理论，掌握物价管理相关知识与规定；有从事成本调查和成本监审相关工作经历，具有一定的文字综合能力；具有一定的上海工作、学习经历，对上海社会、经济发展情况较为熟悉；政治素质好，品行端正，勤奋好学，身体健康。,有从事成本调查和成本监审相关工作经历，具备中级及以上会计职称者优先,False,0,False,0,2
20,法学类,法学类,政法,二年,学士,本科及以上,21,1,市经济信息化委,具有两年以上基层工作经历的人员,不限,政策法规处,1410021,主任科员及以下,开展工业和信息化管理相关立法调研、起草工作；开展工业和信息化规范性文件法律审核；负责行政执法及监督，行政复议和行政诉讼工作；开展相关法律事务协调；其他法律事务工作,具有一定的基层工作经验；具有岗位所需的法律专业知识；熟悉工业和信息化管理；熟悉机关公文写作；具有良好的口头表达能力、文字能力和协调能力。,,False,0,False,0,1
21,"计算机类,自动化类,电子信息类 ","计算机科学与技术类,电子科学与技术类,信息与通信工程类",信息管理,二年,学士,本科及以上,22,1,市经济信息化委,具有两年以上基层工作经历的人员,不限,软件和信息服务业处,1410022,副主任科员及以下,拟定并组织实施信息消费中长期发展规划和年度计划，参与拟定相关支持政策。协调推进信息消费产品研发和产业化，推动重点领域创新发展。组织推进信息消费相关公共服务平台建设，参与组织利用外资项目。,具有一定的组织协调能力，有一定的工作经验，从事过相关岗位的优先考虑。,,False,0,False,0,1
22,"经济学类,工商管理类,金融学类 ","应用经济学类,工商管理类,管理科学与工程类",经济管理,二年,学士,本科及以上,23,1,市经济信息化委,具有两年以上基层工作经历的人员,不限,研究室,1410023,主任科员及以下,经济和信息化形式综合分析；各类重要文稿起草，产业和信息化发展战略课题调研。,相关专业知识背景；熟悉经济和信息化领域情况；较强的文字综合能力和调查研究能力；两年以上政府、事业单位、研究机构、企业等产业和信息化相关工作经历；较好的敬业意识和团队精神。,,False,0,False,0,1
23,不限,不限,综合管理,二年,学士,本科及以上,24,1,市经济信息化委,具有两年以上基层工作经历的人员,中共党员,党委办公室,1410024,副主任科员及以下,负责信息报送工作和对外联络工作。,有较强的文字功底，从事过文字工作。有较强的组织协调能力。,,False,0,False,0,1
24,,"经济学,工商管理类,管理科学与工程类",经济管理,二年,硕士,硕士研究生及以上,25,1,市经济信息化委,具有两年以上基层工作经历的人员,不限,综合规划处,1410025,主任科员及以下,负责产业规划、产业布局和政策研究。,具有战略思维和全局视野，熟悉产业和信息化相关领域发展；具有较强的事业心、责任感和踏实的工作作风，具有较强的文字能力、协调能力和学习能力；具有一定的企业经历、熟悉企业和市场运行者优先。,,False,0,False,0,1
25,航空航天类,,综合管理,二年,学士,本科,26,1,市经济信息化委,具有两年以上基层工作经历的人员,不限,航空产业处,1410026,科员,负责通用飞机领域、航空配套产业发展推进工作。,从事过航空产业工作的优先考虑。,,False,0,False,0,1
26,"经济学类,工商管理类,管理科学与工程类 ","应用经济学类,管理科学与工程类,工商管理类",经济管理,二年,学士,本科及以上,27,1,市经济信息化委,具有两年以上基层工作经历的人员,不限,产业投资处,1410027,副主任科员及以下,负责产业投资项目库的综合管理工作，维护和运行项目库，跟踪项目进展情况，及时更新项目库内容，协调项目实施出现的问题，完善项目管理网络，分析研究项目的变化和发展趋势。,了解上海工业的基本情况，对产业投资项目管理有一定的经验，具有一定的项目分析能力和沟通协调能力。,,False,0,False,0,1
27,"电子信息类,计算机类","电子科学与技术类,信息与通信工程类,计算机科学与技术类",信息管理,二年,学士,本科及以上,28,1,市经济信息化委,具有两年以上基层工作经历的人员,不限,电子信息产业处,1410028,副主任科员及以下,负责智能（数字）电视、移动互联网产业推进，协助做好处室综合工作。,了解本市经济和信息化相关工作，在通信相关行业工作经验者优先。,,False,0,False,0,1
28,"会展经济与管理,工商管理类,电子商务类 ","工商管理类,管理科学与工程类",综合管理,二年,学士,本科及以上,29,1,市经济信息化委,具有两年以上基层工作经历的人员,不限,外经处,1410029,主任科员及以下,负责协调推进工博会、招商引资等工作。,2年以上（含2年）会展或招商引资工作经验，具有较强的协调能力，具有较强的团队合作意识，具有一定的文字功底。,,False,0,False,0,1
29,不限,不限,综合管理,二年,学士,本科及以上,30,1,市教委,具有两年以上基层工作经历的人员,中共党员,市教卫工作党委组织干部处,1410030,综合管理职位主任科员及以下,负责处室文档、联络内部管理；协助开展其他工作。,具有较强的组织协调能力及语言文字表达能力；熟练应用计算机；责任心强，工作积极主动、认真细致；身体健康。具有组织或干部工作经历。,,False,0,False,0,1
30,,不限,综合管理,三年,硕士,硕士研究生及以上,31,1,市教委,具有两年以上基层工作经历的人员,中共党员,教卫工作党委宣传处,1410031,理论宣传职位主任科员及以下,从事理论学习研究与宣传普及、哲学社会科学骨干研修、文稿起草等工作。,具有较强的公文起草能力、口头表达能力、组织协调能力，具有2年及以上学校宣传思想或德育工作经历；责任心强，工作积极主动、认真细致，能适应高强度工作；身体健康。,,False,0,False,0,1
31,不限,不限,综合管理,五年以上,学士,本科及以上,32,1,市教委,具有两年以上基层工作经历的人员,中共党员,市教卫工作党委宣传处,1410032,综合管理职位主任科员及以下,负责处室文档、联络、内部管理；协助开展文化活动、思政研究等工作。,具有较强的文字表达能力、组织协调能力，具有5年及以上学校思政工作经历；责任心强，工作积极主动、认真细致，能适应高强度工作；身体健康。,有办公室管理工作经验优先。,False,0,False,0,1
32,,"法学类,会计学,财政学",综合管理,二年,硕士,硕士研究生及以上,33,1,市教委,具有两年以上基层工作经历的人员,中共党员,市教卫纪工委,1410033,综合管理职位主任科员及以下,从事纪检监察工作。,具有较强的分析思考能力、语言文字表达能力和组织协调能力。,具有纪检监察工作经验者优先。,False,0,False,0,1
33,不限,不限,综合管理,二年,学士,本科及以上,34,1,市教委,具有两年以上基层工作经历的人员,中共党员,市教卫机关党委,1410034,党建工作和内勤职位主任科员及以下,基层党组织和党员队伍建设与管理及部门内部事务管理。,具有党建相关工作经验；具有较强的语言文字表达能力和组织协调能力；工作积极主动、认真细致、责任心强；身体健康。,,False,0,False,0,1
34,,不限,综合管理,二年,硕士,硕士研究生及以上,35,1,市教委,具有两年以上基层工作经历的人员,不限,市教委发展规划处,1410035,教育事业发展规划职位主任科员及以下,协助起草制订本市教育事业中长期发展规划；协助并参与本市教育体制改革相关工作；协助参与本市高等学校设置相关工作。,具有较强的分析思考能力、组织协调能力及语言文字表达能力。,具有高等教育管理相关工作经验者优先。大学英语六级合格或425分及以上者优先。,False,0,False,0,1
35,管理学,不限,综合管理,二年,学士,本科及以上,36,1,市教委,具有两年以上基层工作经历的人员,不限,市教委体卫艺科处,1410036,综合管理职位主任科员及以下,从事处室内部协调与管理。,具有行政事业单位办公室管理两年以上相关工作经验。有较强的文字表达能力，熟练运用计算机。,教育相关经历工作者优先。,False,0,False,0,1
36,,不限,综合管理,二年,硕士,硕士研究生及以上,37,1,市教委,具有两年以上基层工作经历的人员,中共党员,市教委德育处,1410037,综合管理职位主任科员及以下,从事高校德育工作。,具有较强的文字表达能力、组织协调能力；责任心强，工作积极主动、认真细致，能适应高强度工作；身体健康。具有教育相关工作经验。,具有高校学生工作经历者优先。,False,0,False,0,1
37,,不限,综合管理,三年,硕士,硕士研究生,38,1,市科委,具有两年以上基层工作经历的人员,不限,基地建设与管理处,1410038,研发公共服务平台建设与管理职位主任科员及以下,开展研发平台发展规划研究，组织平台建设工作调研，负责平台建设项目实施与管理。,具有理工科专业背景，具有工程或自然科学研究系列中级及以上专业技术资格，熟悉科技公共服务政策及具体业务，具有较强的文字和口头表达能力、组织协调和综合调研能力。需具有3年以上科技管理工作经历。,,False,0,False,0,1
38,,不限,综合管理,三年,硕士,硕士研究生及以上,39,1,市科委,具有两年以上基层工作经历的人员,不限,高新技术产业化处,1410039,科技计划项目管理职位主任科员及以下,参与本市高新技术发展及产业化相关领域的科技发展规划的编制；协助本市高新技术相关领域专项计划和科技攻关计划的指南编制、组织实施、项目管理等工作。,"具有理工科专业背景，具有工程或自然科学研究系列中级及以上专业技术资格,熟悉国家和本市现行高新技术相关领域的政策和重大科技项目，具有较强的组织协调能力、文字和口头表达能力。需具有3年以上科研和科技管理工作经历。",,False,0,False,0,1
39,,不限,综合管理,五年以上,硕士,硕士研究生及以上,40,1,市科委,具有两年以上基层工作经历的人员,不限,发展计划处,1410040,科技计划管理职位主任科员及以下,参与制定并组织实施本市年度科技计划，开展国家和本市重大科技项目的管理协调，研究相关的科技政策、发展环境和管理办法并提出有关建议。,本科及研究生阶段均需具有理工科专业背景，具有工程或自然科学研究系列中级及以上专业技术资格，熟悉国家和本市现行科技政策和科技计划体系，具有较强的组织协调能力、文字和口头表达能力。需具有相关科研工作经历且具有2年以上科技项目管理工作经历。,,False,0,False,0,1
40,不限,,综合管理,三年,学士,本科,41,1,市科委,具有两年以上基层工作经历的人员,不限,创新服务处,1410041,企业创新培育和政策服务职位主任科员及以下,负责研究制定创新创业服务体系建设规划并组织实施，会同有关部门研究提出本市科技型中小企业培育和扶持政策建议，组织推进科技型中小企业创新工作。,具有工程或自然科学研究系列中级及以上专业技术资格，熟悉科技创新创业政策及具体业务，具有较强的文字和口头表达能力、组织协调和综合调研能力。需具有3年以上科技服务管理工作经历。,,False,0,False,0,1
41,,不限,综合管理,二年,硕士,硕士研究生,42,1,市科委,具有两年以上基层工作经历的人员,不限,生物医药处,1410042,生物医药科研与产业化管理职位主任科员及以下,协助负责生物医药领域生物和化学药物的科技与产业化管理，包括生物医药领域技术预见和政策研究、科研和产业化项目管理等工作；协助负责国家重大新药创制专项等国家级项目的过程管理工作。,具有生物或化学专业背景，熟悉国家和上海生物医药领域科技和产业发展政策，具有较强的文字写作能力和一定的组织协调、沟通能力。需具有2年以上生物医药领域以及国家重大新药创制专项等综合管理工作经历。,,False,0,False,0,1
42,信息管理与信息系统,,信息管理,二年,学士,本科,43,1,市财政局,具有两年以上基层工作经历的人员,不限,上海市财政局,1410043,科员职位,财政信息化软件开发和维护岗位。,,1、熟悉JAVA及相关技术，并有编程经历；2、熟悉Oracle等大型数据库，并有编写SQL经历；3、有团队合作和主动学习精神，善于沟通；4、有大型信息系统、政府网站等应用系统开发和运维经验者优先。,False,0,False,0,1
43,"经济学,工商管理类","经济学,工商管理类",经济管理,二年,学士,本科及以上,44,5,市财政局,具有两年以上基层工作经历的人员,不限,上海市财政局,1410044,主任科员及以下职位,财政业务管理岗位。,,从事财政、税务、审计等经济管理业务工作5年以上；文字功底扎实、逻辑思维严谨、工作认真踏实，具有较好的沟通协调能力；具有经济类中级职称或注册类职业资格优先。,False,0,False,0,5
44,"经济学,工商管理类","经济学,工商管理类",经济管理,二年,学士,本科及以上,45,4,市财政局,具有两年以上基层工作经历的人员,不限,上海市财政局监督检查局,1410045,副主任科员及以下职位,市级财政监督检查岗位。,,,False,0,False,0,4
45,"汉语言文学,行政管理","汉语言文字学,行政管理",综合管理,三年,学士,本科及以上,46,1,市人力资源社会保障局,具有两年以上基层工作经历的人员,不限,办公室,1410046,综合文秘岗位主任科员及以下职位,负责文核文印等相关工作。,具有较高的文字表达能力和综合协调能力。,"考虑人员结构问题,男性优先。",False,0,True,1,1
46,行政管理,行政管理,综合管理,三年,学士,本科及以上,47,1,市人力资源社会保障局,具有两年以上基层工作经历的人员,不限,办公室,1410047,行政后勤岗位主任科员及以下职位,负责合作交流、行政接待工作.,具备较好的文字表达和沟通外联、协调应变能力，工作责任心强，服务意识强，具有积极向上的工作态度。,"考虑人员结构问题和岗位特点,男性优先。",False,0,True,1,1
47,不限,不限,政法,二年,学士,本科及以上,48,2,市人力资源社会保障局,具有两年以上基层工作经历的人员,中共党员,信访办,1410048,信访接待岗位主任科员及以下职位,接待群众来访，办理群众来信，协调处理疑难信访问题等。,,,False,0,False,0,2
48,不限,不限,综合管理,二年,学士,本科及以上,49,1,市人力资源社会保障局,具有两年以上基层工作经历的人员,中共党员,人力资源开发与市场管理处,1410049,人力资源开发与市场管理处综合调研岗位主任科员及以下职位,负责人才政策调研、人才政策起草等工作。,具有一定的理论研究和政策研究水平，具有较强的文字能力和组织协调能力。具有从事政策调研、调研报告起草等工作经历。,,False,0,False,0,1
49,"法学,行政管理","法学类,行政管理",政法,二年,学士,本科及以上,50,1,市人力资源社会保障局,具有两年以上基层工作经历的人员,中共党员,调解仲裁管理处,1410050,调解仲裁处主任科员及以下职位,从事劳动人事争议仲裁工作。,具有法律知识，熟悉人力资源和社会保障政策；具有人力资源等相关工作经验；具有较强的调查研究及综合能力，文字表达能力强。,,False,0,False,0,1
50,不限,不限,综合管理,二年,学士,本科及以上,51,1,市人力资源社会保障局,具有两年以上基层工作经历的人员,中共党员,农村养老保险处,1410051,综合管理岗位主任科员及以下职位,负责政策调研和文件起草等工作。,具有一定的理论研究和政策研究水平，具有较强的文字能力和组织协调能力。具有从事政策调研、调研报告起草等工作经历。,,False,0,False,0,1
51,"临床医学类,中医学,中西医临床医学 ","临床医学类,中医内科学,中西医结合临床",综合管理,二年,学士,本科及以上,52,1,市人力资源社会保障局,具有两年以上基层工作经历的人员,中共党员,定点医药监管处,1410052,定点医疗机构监管岗位主任科员及以下职位,从事定点医疗机构管理工作。,专业条件包括卫生管理专业。,,False,0,False,0,1
52,,"理学,工学,管理学",综合管理,二年,硕士,硕士研究生及以上,53,1,市人力资源社会保障局,具有两年以上基层工作经历的人员,不限,外国专家与留学人员工作处（国际合作处),1410053,外国专家管理岗位主任科员及以下职位,协助本市外国专家管理工作，草拟和实施外国专家管理政策，从事相关外国专家管理政策调研等工作。,具有较强的外语翻译能力，并有专业英语8级证书或其他外语语种专业证书。,有留学经历者优先。,False,0,False,0,1
53,行政管理,行政管理,综合管理,二年,学士,本科及以上,54,1,市建设交通委,具有两年以上基层工作经历的人员,不限,党委办公室,1410054,文秘主任科员及以下,开展调查研究，编写各类信息、简报，起草党委各类文件，督促检查基层单位贯彻落实党委重要工作情况。,有较强的文字能力和组织协调能力。,,False,0,False,0,1
54,经济学类,经济学,经济管理,二年,学士,本科及以上,55,1,市农委,具有两年以上基层工作经历的人员,不限,综合发展处（财务处）,1410055,副主任科员及以下,负责农业投资项目的管理、检查、验收等工作。,具有项目管理工作经验者优先。,需经常到乡镇调研，检查农业投资项目情况。,False,0,False,0,1
55,,农业经济管理,综合管理,二年,硕士,硕士研究生,56,1,市农委,具有两年以上基层工作经历的人员,中共党员,农产品质量安全监管处,1410056,副主任科员,起草农产品质量安全监管方面的政策文件、调研报告等，协助农业部对本市进行例行抽检。,具有2年以上农产品质量安全监管工作经验。,,False,0,False,0,1
56,"汉语言文学,经济学类,农学 ","汉语言文字学,经济学,农学",综合管理,二年,学士,本科及以上,57,1,市农委,具有两年以上基层工作经历的人员,中共党员,办公室,1410057,副主任科员及以下,具有较强的文字写作、语言表达和沟通协调能力。,具有涉农工作经历或办公室工作经历者优先。,,False,0,False,0,1
57,,园艺学类,综合管理,二年,硕士,硕士研究生,58,1,市农委,具有两年以上基层工作经历的人员,中共党员,蔬菜办公室,1410058,副主任科员,做好市郊蔬菜产销发展规划和年度工作计划编制工作，配合做好地方性法规、规章和产业政策的调研制订；负责办内综合管理工作。,具有2年以上蔬菜专业工作经验。,,False,0,False,0,1
58,,"农学,环境科学与工程类",综合管理,二年,硕士,硕士研究生,59,1,市农委,具有两年以上基层工作经历的人员,不限,城镇规划处,1410059,副主任科员,负责本市化肥农药、畜禽污染减排等农业污染综合防治以及新农村建设相关工作。,,,False,0,False,0,1
59,"农学,农业机械化及其自动化","农学,农业机械化工程",综合管理,二年,学士,本科及以上,60,1,市农委,具有两年以上基层工作经历的人员,不限,农机化办公室,1410060,副主任科员及以下,协助草拟和实施全市农机化发展方向与政策，调研分析农机化发展情况，协调推进农机关键技术，负责相关信息报送等工作。,具有农业机械相关工作经验。,,False,0,False,0,1
60,经济学类,经济学,经济管理,二年,学士,本科及以上,61,1,市农委,具有两年以上基层工作经历的人员,中共党员,市场信息处,1410061,副主任科员及以下,负责市场信息与经济运行分析等工作。,熟悉农业生产管理，具有2年以上行政管理工作经验。,,False,0,False,0,1
61,,"建筑设计及其理论,城市规划与设计",城市建设管理,二年,硕士,硕士研究生及以上,62,1,市规划国土资源局,具有两年以上基层工作经历的人员,不限,内部处室,1410062,规划管理职位主任科员及以下,从事城市规划管理等相关业务工作。,有较强的组织协调能力，以及文字和口头表达能力。有两年以上城市规划管理相关工作经历。,本科阶段所学专业应与研究生阶段相同。,False,0,False,0,1
62,,"民商法学,经济法学,土地资源管理",城市建设管理,二年,硕士,硕士研究生及以上,63,2,市规划国土资源局,具有两年以上基层工作经历的人员,不限,内部处室,1410063,土地管理职位主任科员及以下,从事土地管理等相关业务工作。,有较强的组织协调能力、分析研究能力，以及文字和口头表达能力。有两年以上土地管理相关工作经历。,本科阶段所学专业应与研究生阶段相同。,False,0,False,0,2
63,"法学,行政管理","经济法学,民商法学,行政管理",综合管理,二年,学士,本科及以上,64,2,市规划国土资源局,具有两年以上基层工作经历的人员,不限,内部处室,1410064,综合管理职位主任科员及以下,从事行政管理等相关工作。,有较强的组织协调能力，以及文字和口头表达能力。有两年以上行政管理相关工作经历。,法学专业（为民商法或经济法）。,False,0,False,0,2
64,,"历史学类,中国语言文学类",综合管理,二年,硕士,硕士研究生及以上,65,1,市水务局(海洋局),具有两年以上基层工作经历的人员,中共党员,办公室,1410065,信访管理岗位科员,信访接待、后勤管理、史志编撰及文件起草,具有较强的组织协调能力、文字组织和口头表达能力，有信访、维稳工作经历者优先,,False,0,False,0,1
65,"预防医学,食品卫生与营养学,食品质量与安全 ","营养与食品卫生学,食品科学",综合管理,二年,学士,本科及以上,66,1,市卫生计生委,具有两年以上基层工作经历的人员,中共党员,食品安全标准与评估处,1410066,食品安全标准管理职副主任科员及以下,负责组织拟定、修订本市食品安全地方标准、食品安全企业标准备案管理等。,大学英语六级合格或成绩425分及以上，熟练操作微软办公软件等。,身体健康，具有从事食品安全标准工作经历者优先。,False,0,False,0,1
66,"预防医学,食品卫生与营养学,食品质量与安全 ","营养与食品卫生学,食品科学",综合管理,二年,学士,本科及以上,67,1,市卫生计生委,具有两年以上基层工作经历的人员,中共党员,食品安全标准与评估处,1410067,食品安全风险评估监测职副主任科员及以下,负责组织实施本市食品安全风险评估监测等。,大学英语六级合格或成绩425分及以上，熟练操作微软办公软件等。,身体健康，具有从事食品安全风险评估监测工作经历者优先。,False,0,False,0,1
67,"财务管理,会计学",会计学,综合管理,二年,学士,本科及以上,68,1,市卫生计生委,具有两年以上基层工作经历的人员,中共党员,市干部保健局,1410068,医保管理职位科员,负责财务、统计及分析工作。,具有会计上岗证，有医疗保险费用结算经验，又了解干部医疗财务工作情况者优先。,,False,0,False,0,1
