,专业本科,专业研究生,专业考试,基层工作最低年限,学位要求,学历要求,序号,招录人数,招录机关,招考对象,政治面貌,用人单位(部门),职位代码,职位名称,职位简介,其他条件,备注,gsr_f,gsr_f_no,gsr_m,gsr_m_no,job_no
20,"公共管理类,文学,经济学类","公共管理类,文学,经济学",综合管理,二年,学士,本科及以上,21,1,市委宣传部,具有两年以上基层工作经历的人员,中共党员,市委外宣办（市政府新闻办、市网信办）综合处,1610021,秘书（主任科员及以下）,从事机要、秘书、行政等工作,工作严谨认真、责任心强；熟悉机关公文办理，具有较强的文稿起草能力；善于沟通、联络，具有较强的组织协调能力；能够熟悉掌握计算机技术,需要通宵值班；学位为硕士以上的，亦要求有学士学位,False,0,False,0,1
21,,不限,综合管理,五年以上,硕士,硕士研究生,22,1,市科技工作党委,具有两年以上基层工作经历的人员,中共党员,办公室,1610022,办公室综合管理职位主任科员及以下,负责文稿起草、信息及简报刊物编撰、督查、党史研究等工作。,需具有党务和行政管理工作经历，有较强的文字功底和组织协调能力。,熟悉科技工作者优先,False,0,False,0,1
22,不限,不限,综合管理,五年以上,学士,本科及以上,23,1,市科技工作党委,具有两年以上基层工作经历的人员,中共党员,统战处,1610023,党外人士综合管理职位主任科员及以下,协助做好市科技党委民主党派、少数民族和侨务统战工作。,需具有科研机构统战工作经历，有较强的口头和文字表达能力。,,False,0,False,0,1
23,不限,不限,综合管理,五年以上,学士,本科及以上,24,1,市科技工作党委,具有两年以上基层工作经历的人员,中共党员,宣传处,1610024,科技宣传和思政工作研究职位主任科员及以下,组织开展科技宣传、科技人员思想动态调研和理论学习等工作。,需具有科技新闻或科技政策研究工作经历，有较高的政治素养，具备较强的组织协调能力和文字写作能力。,,False,0,False,0,1
24,,不限,综合管理,五年以上,硕士,硕士研究生,25,1,市科技工作党委,具有两年以上基层工作经历的人员,中共党员,组织干部处,1610025,党建人才工作职位主任科员及以下,协助开展科技系统基层党建和人才工作，协助拟定、实施科技系统党建和人才相关工作制度。,需具有党务和科技管理工作经历，有一定的政策理论研究功底，具有较强的组织协调与文字表达能力。,,False,0,False,0,1
25,"法学,公共管理类,中国语言文学类","法学,公共管理类,中国语言文学类",综合管理,二年,学士,本科及以上,26,2,市委信访办,具有两年以上基层工作经历的人员,中共党员,业务处室,1610026,综合管理职位副主任科员及以下,主要从事阅处人民群众来信、接待人民群众走访、征集人民群众建议、撰写综合分析材料、协调化解人民内部矛盾等工作。,熟悉有关法规、政策及办公自动化系统，具有较强的语言、文字表达能力、综合分析能力及组织协调能力，具备一定的奉献精神。,熟练掌握本地语言者优先。,False,0,False,0,2
26,"金融学,会计学,法学","金融学,会计学,法学",经济管理,二年,学士,本科及以上,27,1,市金融办,具有两年以上基层工作经历的人员,不限,地方金融管理处,1610027,主任科员及以下,金融业务管理,综合素质好，责任心强；专业功底扎实，熟悉金融法律法规；具有较强的研究分析、文字综合和组织执行能力；具有2年以上会计师事务所、律师事务所或金融机构工作经历,有CPA或律师从业资格者优先,False,0,False,0,1
27,"经济学,金融学","经济学,金融学",经济管理,二年,学士,本科及以上,28,1,市金融办,具有两年以上基层工作经历的人员,不限,金融市场服务处（上市重组处）,1610028,主任科员及以下,金融市场建设研究与服务,综合素质好，责任心强；具有较强的专业研究分析、文字表达及沟通协调能力；熟悉资本市场，并有独立见解,具有金融行业工作经历和在主流财经媒体发表文章者优先,False,0,False,0,1
28,,金融学,经济管理,二年,硕士,硕士研究生及以上,29,1,市金融办,具有两年以上基层工作经历的人员,不限,业务处室,1610029,主任科员及以下,金融业务管理,综合素质好，责任心强；金融专业功底扎实，熟悉金融法律法规和政策；具有较强的语言表达、沟通协调和文字综合能力；具有2年以上金融业务相关工作经历,,False,0,False,0,1
29,"哲学,政治学类,中国语言文学类",不限,综合管理,二年,学士,本科及以上,30,1,市级机关工委,具有两年以上基层工作经历的人员,中共党员,宣传部,1610030,党务管理职位主任科员及以下,机关党建工作。,具有较强的文字能力。,有从事党建或文字工作经历优先。,False,0,False,0,1
30,,"社会学类,中国语言文学类,历史学类",综合管理,二年,硕士,硕士研究生及以上,31,3,市档案局,具有两年以上基层工作经历的人员,中共党员,业务处室,1610031,综合、执法和信息管理职位副主任科员,从事档案事业发展规划、政策法规和信息管理等方面工作，开展调查研究、收集汇总情况和撰写材料等。,有较强的综合协调能力、分析能力和文字工作能力。,,False,0,False,0,3
31,"中国语言文学类,新闻学",,综合管理,二年,学士,本科,32,1,市委老干部局,具有两年以上基层工作经历的人员,中共党员,宣传处,1610032,科员,从事上海老干部工作新闻宣传，兼《上海老干部工作》杂志责任编辑。,熟悉党的新闻政策和纪律，具有一定的新闻业务工作水平；具有一定的新闻（选题）策划和文字表达能力；熟悉媒体特点和规律，具有较好的组织协调能力。,有一定的新闻工作或编辑工作经验者为佳。,False,0,False,0,1
32,,不限,综合管理,二年,硕士,硕士研究生及以上,33,3,市政府办公厅,具有两年以上基层工作经历的人员,中共党员,业务处室,1610033,主任科员及以下,综合岗位,工作严谨细致，责任心强；作风正派，政治意识强；熟悉机关公文办理，具有较强的文稿起草能力；善于沟通、联络，具有较好的组织协调能力；能够熟练掌握计算机应用技术。,,False,0,False,0,3
33,法学类,法学类,政法,二年,学士,本科及以上,34,3,市发展改革委,具有两年以上基层工作经历的人员,不限,上海市价格监督检查与反垄断局,1610034,价格监督检查，科员,参与监督检查经营服务性收费、受理消费者和经营者对价格法律法规等工作的咨询和建议等工作。,熟悉价格管理、财会以及与经济相关专业的基本理论和法律法规，熟悉行政执法工作程序，具有行政执法工作经历者优先，具有较强的文字综合协调管理能力；具有一定的上海工作、学习经历，对上海社会、经济发展情况较为熟悉。政治素质好，身体健康。,,False,0,False,0,3
34,"政治学类,行政管理","政治学类,行政管理",综合管理,二年,学士,本科及以上,35,1,市发展改革委,具有两年以上基层工作经历的人员,中共党员,市价格监督检查与反垄断局,1610035,办公室党务，科员,根据党组织要求，承担基层党建、纪检监察等工作。,熟悉机关党的建设工作基本要求，具有党务工作经历，熟悉党组织工作各项程序，具有较强的文字综合协调管理能力。政治素质好，身体健康。,,False,0,False,0,1
35,"财政学类,财务管理,会计学",,财务管理,二年,学士,本科,36,2,市发展改革委,具有两年以上基层工作经历的人员,不限,市价格监督检查与反垄断局,1610036,反价格垄断调查，科员,按照上级主管部门的部署和要求，依法开展对经营者涉嫌价格垄断案件的调查等工作。,熟悉财会、企业管理等方面的专业知识及相关的法律、法规，了解反垄断有关工作并熟悉相关的行政执法程序，熟悉企业运营模式，具有一定的文字综合能力及较强沟通协调等能力；具有一定的上海工作、学习经历，对上海社会、经济发展情况较为熟悉。政治素质好，身体健康。,,False,0,False,0,2
36,"财务管理,财政学类","会计学,财政学",财务管理,二年,学士,本科及以上,37,1,市发展改革委,具有两年以上基层工作经历的人员,中共党员,市价格监督检查与反垄断局,1610037,办公室财务，科员,承担机关财务管理工作，负责固定资产管理和出纳工作。,熟悉财会相关专业的基本理论，具有财会或审计工作经历，熟悉机关财务工作的有关要求和程序，具有较强的文字综合协调管理能力。政治素质好，身体健康。,,False,0,False,0,1
37,,经济学,经济管理,二年,硕士,硕士研究生及以上,38,2,市发展改革委,具有两年以上基层工作经历的人员,不限,委机关业务部门,1610038,经济分析研究，主任科员及以下,编制经济与社会发展计划和中长期规划，从事经济形势分析和政策研究等工作。,熟悉经济学、经济管理的基本理论，具有从事经济分析、经济政策研究等相关领域2年以上工作经历（含2年以上基层经历），具有较强的文字综合、经济分析等能力；对上海社会、经济发展情况较为熟悉。,,False,0,False,0,2
38,"经济学,社会学,公共管理类","应用经济学类,社会学,公共管理类",经济管理,二年,学士,本科及以上,39,2,市发展改革委,具有两年以上基层工作经历的人员,不限,委机关业务部门,1610039,经济社会发展规划与管理，主任科员及以下,参与研究起草本市社会事业、社会保障、区域经济发展等方面的规划和政策，从事协调有关领域管理工作。,熟悉区域经济管理、社会学、公共管理学等方面的基本理论，具有从事区域经济、社会事业、社会保障等领域2年及以上管理工作经历（含2年以上基层经历），具有较强的文字综合、沟通协调等能力；对上海社会、经济发展情况较为熟悉。,,False,0,False,0,2
39,"城乡规划,土木类,土地资源管理","城市规划与设计,土木工程类,土地资源管理",城市建设管理,二年,学士,本科及以上,40,2,市发展改革委,具有两年以上基层工作经历的人员,不限,委机关业务部门,1610040,城市发展规划与管理，主任科员及以下,参与本市城市发展规划、城市建设管理等领域的政策研究、协调管理等工作。,熟悉规划专业知识；具有从事城市发展、区域规划、交通规划、项目管理等领域2年以上工作经历（含2年及以上基层经历），具有较强的政策研究和协调管理等能力；具有一定的上海工作、学习经历，对上海社会、经济发展情况较为熟悉。政治素质好，身体健康。,,False,0,False,0,2
40,,"产业经济学,技术经济及管理,应用经济学类",经济管理,二年,硕士,硕士研究生及以上,41,2,市发展改革委,具有两年以上基层工作经历的人员,不限,委机关业务部门,1610041,产业管理，主任科员及以下,参与本市产业发展（含战略性新兴产业）方面的的协调管理、政策研究与起草文稿等工作。,熟悉产业发展、技术经济、战略性新兴产业等方面的专业知识；熟悉高新技术或科研领域有关工作情况；具有从事相关产业发展规划、产业管理等方面2年以上企业工作经历（含2年以上基层经历），具有较强的政策研究和协调管理等能力；具有一定的上海工作、学习经历，对上海社会、经济发展情况较为熟悉。政治素质好，身体健康。,兼有工科与经济管理的复合型从业经历者优先。,False,0,False,0,2
41,"工商管理类,经济学类","工商管理类,应用经济学类",经济管理,二年,学士,本科及以上,42,2,市发展改革委,具有两年以上基层工作经历的人员,不限,委机关业务部门,1610042,价格管理，主任科员及以下,参与本市政府管理的重要商品和服务的价格调整方案制定和组织实施等工作；参与本市行政事业性收费的管理、拟定和标准调整等工作。,熟悉公共产品价格管理、工商管理等方面的专业知识；具有从事工商管理、价格成本核算、市场分析（与产品价格有关）等方面2年以上工作经历（含2年以上基层经历），具有较强的政策研究和协调管理等能力；具有一定的上海工作、学习经历，对上海社会、经济发展情况较为熟悉。政治素质好，身体健康。,,False,0,False,0,2
42,不限,不限,综合管理,二年,学士,本科及以上,43,1,市经济信息化委,具有两年以上基层工作经历的人员,中共党员,党委部门,1610043,党建研究职,承担对内、对外协调沟通工作，从事文字方面等相关工作。,具备较强的表达能力和组织协调能力，学习能力强，具有较强的文字功底，熟悉产业和信息化相关工作，在经济信息化领域从事党建工作者优先。,,False,0,False,0,1
43,不限,不限,综合管理,二年,学士,本科及以上,44,2,市经济信息化委,具有两年以上基层工作经历的人员,中共党员,党委部门,1610044,党建工作职,从事本系统基层党建工作，做好相关组织建设、党员发展和党员培训等工作；协调组织策划本系统重大活动，宣传典型策划等工作；负责本系统思想政治工作相关研究与组织，重大舆情采集与分析；做好媒体联系协调。,具有较强的组织协调能力、文字能力和表达能力。具有一定的产业和信息化工作背景。具有相关党建工作经历者优先考虑；专业背景为新闻传媒、国际政治、法学、社会学等的优先。,,False,0,False,0,2
44,"经济学,法学类","经济学,法学类",综合管理,二年,学士,本科及以上,45,2,市经济信息化委,具有两年以上基层工作经历的人员,不限,行政部门,1610045,政策法规研究职,从事产业和信息化领域文稿撰写及相关政策法规研究工作。,熟悉产业和信息化相关领域发展，有较强的事业心和责任心，文字综合能力强，有一定的专业研究能力。相关企业经历者优先。,,False,0,False,0,2
45,"工业设计,建筑类",建筑学类,综合管理,二年,学士,本科及以上,46,2,市经济信息化委,具有两年以上基层工作经历的人员,不限,行政部门,1610046,都市创意职,协助推进创意设计领域相关工作,工作主动性强，具有高度的责任感和团队意识，具有良好的沟通协调和文字表达能力，相关企业从业经历者优先考虑。,研究生阶段攻读工业设计相关专业者也可报考。,False,0,False,0,2
46,"经济学类,工学","经济学,工学",综合管理,二年,学士,本科及以上,47,3,市经济信息化委,具有两年以上基层工作经历的人员,不限,行政部门,1610047,技术规划职,从事产业规划、产业布局和政策研究，会同相关部门推进“四新”经济，负责协调汇总等相关工作，跟踪相关重点项目推进情况，编制有关方案，服务相关重点企业等。,具有较强的事业心、责任感和踏实工作作风，具有较强的文字能力、协调能力和学习能力，熟悉产业和信息化相关领域发展，具有一定的战略思维，有相关企业经历、熟悉企业和市场运行者优先。,,False,0,False,0,3
47,工学,工学,综合管理,二年,学士,本科及以上,48,4,市经济信息化委,具有两年以上基层工作经历的人员,中共党员,行政部门,1610048,重大装备工程配套职,对本领域内相关产业开展统计分析，负责军民结合综合与日常工作，协调相关重大项目的推进与实施等。,熟悉装备制造业相关领域，具有较强的组织协调和文字能力，有相关企业从业经验者优先。,研究生和本科类专业仅限于工学所属机械类、电气类、海洋工程类、航空航天类、兵器类、核工程类等大类专业可以报考。,False,0,False,0,4
48,材料类,"材料科学与工程类,冶金工程类",综合管理,二年,学士,本科及以上,49,1,市经济信息化委,具有两年以上基层工作经历的人员,不限,行政部门,1610049,新材料职,从事钢铁、有色金属、建材方面等新材料协调推进工作，从事相关综合协调工作。,具有较强的组织协调能力和文字综合能力，熟悉材料方面的专业知识，具有相关企业从业经历者优先考虑。,,False,0,False,0,1
49,"经济学,管理科学与工程类,工商管理类","经济学,管理科学与工程类,工商管理类",综合管理,二年,学士,本科及以上,50,3,市经济信息化委,具有两年以上基层工作经历的人员,不限,行政部门,1610050,经济运行职,从事四新经济的运行监测和研究工作。,熟悉产业和信息化相关工作，具备产业经济、企业管理的知识和理论基础，有较强的文字能力和组织协调能力，有相关企业从业经历者优先。,,False,0,False,0,3
50,不限,不限,综合管理,二年,学士,本科及以上,51,1,市经济信息化委,具有两年以上基层工作经历的人员,不限,行政部门,1610051,对外经济合作职,从事工博会相关工作，负责对口支援与国内合作等工作。,具有较强的组织协调及文字表达能力，熟悉产业和信息化相关工作，具有会展方面从业经历者优先。,,False,0,False,0,1
51,"计算机类,电子信息类","信息与通信工程类,计算机科学与技术类",综合管理,二年,学士,本科及以上,52,1,市经济信息化委,具有两年以上基层工作经历的人员,不限,行政部门,1610052,信息基础设施管理职,推进4G网络和公益WLAN建设协调工作，以及重点区域、市政重大工程等区域的信息基础设施配套建设协调工作。,有较强的组织协调能力和文字综合能力，熟悉产业和信息化方面相关工作，具有相关通信企业从业经历者优先。,,False,0,False,0,1
52,"能源动力类,管理科学与工程类","动力工程及工程热物理类,管理科学与工程类",综合管理,二年,学士,本科及以上,53,1,市经济信息化委,具有两年以上基层工作经历的人员,不限,行政部门,1610053,节能与综合利用职,开展工业节能规划、年度计划的编制和实施，指导工业园区节能，发展节能环保产业等工作。,熟练掌握节能与综合利用的理论知识，具有一定的政策水平和组织协调能力、文字表达能力，具有相关从业经历者优先。,,False,0,False,0,1
53,"经济学类,金融学类,法学类","应用经济学类,法学类,社会学",综合管理,二年,学士,本科及以上,54,1,市经济信息化委,具有两年以上基层工作经历的人员,不限,行政部门,1610054,信用管理职,承担综合文稿工作，负责信用相关制度建设，专项工作推进、指导，推进领域、区县、行业信用体系建设。,具有较强的文字能力和组织协调能力，熟悉信用相关政策法规等情况，具有相关单位从业经历者优先。,,False,0,False,0,1
54,"计算机类,金融学类","计算机科学与技术类,金融学",综合管理,二年,学士,本科及以上,55,1,市经济信息化委,具有两年以上基层工作经历的人员,不限,行政部门,1610055,生产性服务业职,推进融资租赁、售后服务及互联网产业发展的重点领域发展。,具有较强的组织协调和文字能力，对相关行业有一定研究，具有相关企业从业经历者优先。,,False,0,False,0,1
55,不限,不限,综合管理,二年,学士,本科及以上,56,1,市经济信息化委,具有两年以上基层工作经历的人员,中共党员,行政部门,1610056,人事教育职,从事机关人事和教育培训有关工作。,具有较强的组织协调能力，熟悉人事的相关政策和法律法规，具有相关教育培训的从业经历，具有相关单位的从业经历者优先。,,False,0,False,0,1
56,法学,法学类,综合管理,二年,学士,本科及以上,57,1,市商务委,具有两年以上基层工作经历的人员,不限,公平贸易处（法制处）,1610057,科员,参与全市进出口公平贸易工作组织协调，商务法律法规起草制定，经贸规则研究分析，反垄断审查及行政复议、诉讼案件应对等相关工作,熟悉商务、行政领域法律法规，有较强的实务操作能力。,,False,0,False,0,1
57,,"经济学,工商管理类",经济管理,二年,硕士,硕士研究生及以上,58,1,市商务委,具有两年以上基层工作经历的人员,不限,综合处,1610058,副主任科员,编制商务领域发展规划，组织课题研究，分析预测经济运行发展趋势。,综合分析能力强，有较好的理论研究能力和文字功底。,,False,0,False,0,1
58,经济学类,经济学,综合管理,二年,学士,本科及以上,59,1,市商务委,具有两年以上基层工作经历的人员,不限,钻石交易联合管理办公室,1610059,科员,参与推进本市钻石珠宝产业发展规划、黄金珠宝功能区和钻石珠宝集聚区建设等相关工作。,具有较强的组织协调、文字综合和英语表达能力。,,False,0,False,0,1
59,,不限,综合管理,五年以上,硕士,硕士研究生,60,1,市科委,具有两年以上基层工作经历的人员,不限,办公室,1610060,新媒体运营及宣传职位主任科员及以下,负责官方微博、微信等新媒体运营及科技新闻宣传、信息编报、外宣及其他工作。,需具有理工科专业背景，大学英语六级；具有课题研究经历，文字表述能力强；熟悉科技发展规律和科技创新政策；具有较好的思想、业务素质和理解能力、应变能力；具有较强的组织协调能力及口头表达能力。,具有科技情报工作经历者优先。,False,0,False,0,1
60,新闻传播学类,,综合管理,五年以上,不限,本科,61,1,市科委,具有两年以上基层工作经历的人员,不限,办公室,1610061,新闻宣传及信息职位主任科员及以下,参与做好科技新闻宣传策划、发布筹备工作，起草新闻发布稿，分析研判舆情，做好突发事件新闻应对、媒体服务与管理等工作。,需具有科技新闻宣传策划及政务新媒体运营、信息编报管理工作经历；具有较好的思想、业务素质和理解能力、应变能力；具有较强的组织协调能力、文字写作及口头表达能力。,具有媒体工作经历者优先。,False,0,False,0,1
61,,不限,信息管理,二年,硕士,硕士研究生及以上,62,1,市科委,具有两年以上基层工作经历的人员,不限,发展计划处,1610062,科技计划管理职位主任科员及以下,参与制定并组织实施本市年度科技计划，研究相关的科技政策、发展环境和管理办法并提出有关建议。,本科及研究生阶段均需具有理工科专业背景；具有相关科研和科技项目管理工作经历；具有工程或自然科学研究系列中级及以上专业技术资格，熟悉国家和本市科技政策和科技计划体系，具有较强的组织协调能力、文字和口头表达能力。,,False,0,False,0,1
62,,不限,综合管理,二年,硕士,硕士研究生及以上,63,1,市科委,具有两年以上基层工作经历的人员,中共党员,发展研究处,1610063,科技发展战略研究职位主任科员及以下,开展科技和经济社会发展战略研究，组织科技工作调研，起草重要文稿。,需具有理工科专业背景和软科学研究工作经历；熟悉科技发展规律和科技创新政策；具有较强的文字和口头能力、组织协调和综合调研能力。,,False,0,False,0,1
63,,不限,综合管理,二年,硕士,硕士研究生及以上,64,1,市科委,具有两年以上基层工作经历的人员,中共党员,国际合作处,1610064,科技外事管理审批职位主任科员及以下,参与制定并组织实施本市年度国际科技计划，开展国家和本市重大国际科技项目的管理协调，协助办理本市科技外事任务审批审查。,需具有理工科专业背景和英语高级口译证书；具有科技项目管理工作经历；具有较强的组织协调能力、文字和口头表达能力。,,False,0,False,0,1
64,"工商管理类,统计学类",会计学,财务管理,二年,不限,本科及以上,65,1,市民政局,具有两年以上基层工作经历的人员,不限,计划财务处,1610065,主任科员及以下,从事财务、会计、审计工作,具有两年以上一线会计或审计工作经历,,False,0,False,0,1
65,计算机科学与技术,计算机科学与技术类,信息管理,二年,学士,本科及以上,66,1,市民政局,具有两年以上基层工作经历的人员,不限,市社团局综合处,1610066,主任科员及以下,从事政务网络、社会组织业务信息管理系统的运行管理和技术保障，参与信息化建设规划及推进等相关工作,熟练掌握计算机网络安全技术，具有良好的沟通协调和文字表达能力。具备社会组织管理、具有软件开发及数据系统运维管理经验者优先,,False,0,False,0,1
