,专业本科,专业研究生,专业类别,基层工作最低年限,学位要求,学历要求,序号,招录人数,招录机关,招考对象,政治面貌,用人单位(部门),职位代码,职位名称,职位简介,其他条件,备注,gsr_f,gsr_f_no,gsr_m,gsr_m_no,job_no
24,,教育学类 ,综合管理,二年,硕士,硕士研究生及以上,25,1,市教委,具有两年以上基层工作经历的人员,不限,人事处,1710025,综合管理岗主任科员及以下,处室内部综合管理。,具有较强的沟通协调能力，有一定信息化应用能力，有从事教育管理工作相关经历。,有办公室管理经验者优先。 ,False,0,False,0,1
25,,"哲学类,教育学类 ",综合管理,二年,硕士,硕士研究生及以上,26,1,市教委,具有两年以上基层工作经历的人员,中共党员,职业教育处,1710026,综合管理岗主任科员及以下,处室内部综合管理。,具有较强的沟通协调能力，有一定信息化应用能力，熟悉上海职业教育，有从事职教工作相关经历。,有办公室管理经验者优先。 ,False,0,False,0,1
26,,不限 ,综合管理,二年,硕士,硕士研究生及以上,27,1,市教委,具有两年以上基层工作经历的人员,中共党员,学生处,1710027,综合管理岗主任科员及以下,协助进行高校毕业生就业管理和服务工作以及高校学生管理工作。,具有较强的语言文字表达能力、较强的组织协调能力及2年以上高校管理工作或人力资源管理工作相关经验。,,False,0,False,0,1
27,,"法学类,行政管理 ",综合管理,二年,硕士,硕士研究生及以上,28,1,市教委,具有两年以上基层工作经历的人员,中共党员,政策法规处,1710028,综合管理岗主任科员及以下,教育依法行政、依法治教相关实务工作；教育治理及教育公共政策研究等工作。,有教育法治、教育管理相关工作及研究经历，具有律师资格者优先。,,False,0,False,0,1
28,"汉语言文学,汉语言,应用语言学  ",不限 ,综合管理,二年,学士,本科及以上,29,1,市教委,具有两年以上基层工作经历的人员,中共党员,语言文字管理处,1710029,综合管理岗主任科员及以下,负责办公室文档、信息、联络等日常事务管理及简报等有关文稿撰写。,公文写作能力强；普通话水平测试等级证书二级乙等以上。,有从事文秘相关工作经历者优先。 ,False,0,False,0,1
29,不限 ,不限 ,综合管理,二年,学士,本科及以上,30,1,市教委,具有两年以上基层工作经历的人员,中共党员,德育处,1710030,综合管理职位主任科员及以下,从事处室内部综合管理以及高校思想政治理论课管理等工作。,具有较强的文字表达能力、组织协调能力；责任心强，工作积极主动、认真细致，能适应高强度工作；身体健康。具有教育相关工作经验。,具有高校思想政治教育工作经历者优先。 ,False,0,False,0,1
30,不限 ,不限 ,综合管理,二年,学士,本科及以上,31,2,市教委,具有两年以上基层工作经历的人员,不限,督导室,1710031,综合管理岗主任科员及以下,组织开展督政、督学、评估监测等相关工作,熟悉了解有关教育法律法规及规章制度；熟悉职业教育、高等教育教育教学管理规律；文字功底扎实，具有较强的文字表达能力及组织协调能力。,具有中级及以上职称者优先。具有教育系统评估、统计、财务经历优先。 ,False,0,False,0,2
31,,不限 ,信息管理,二年,硕士,硕士研究生,32,1,市科委,具有两年以上基层工作经历的人员,中共党员,办公室,1710032,办公室文电处理及电子政务职位主任科员及以下,负责文电处理，文件核稿、归档等相关工作，电子政务工作。协助督查重点工作进展情况。完成其它领导交办的工作。,具有科技类企事业单位工作经历；熟悉科技工作特点和电子政务工作；具有较好的思想、业务素质和理解能力、应变能力；具有较强的组织协调能力、文字及口头表达能力；具有团队合作精神，相容性好。,,False,0,False,0,1
32,计算机科学与技术 ,,综合管理,二年,学士,本科,33,1,市科委,具有两年以上基层工作经历的人员,不限,高新技术产业化处,1710033,科技计划项目管理职位主任科员及以下,参与本市高新技术发展及产业化相关领域的科技发展规划的编制；协助本市高新技术相关领域专项计划和科技攻关计划的指南编制、组织实施、项目管理等工作。,具有科技管理的工作经历；熟悉国家和本市现行高新技术相关领域的政策和重大科技项目；具有较强的组织协调能力、文字和口头表达能力；具有团队合作精神，相容性好。,,False,0,False,0,1
33,法学类 ,法学类 ,政法,二年,学士,本科及以上,34,1,市民政局,具有两年以上基层工作经历的人员,不限,政策法规处,1710034,主任科员及以下,从事民政立法调研、法律文件起草、审核、法宣工作,通过国家司法考试，具有法律从业工作经历，能够适应高强度工作,本科应为法学类专业，不含马克思主义理论、政治学、公安学类等 ,False,0,False,0,1
34,"汉语言文学,新闻学,公共管理类  ","中国语言文学类,新闻学,公共管理类 ",综合管理,二年,学士,本科及以上,35,1,市民政局,具有两年以上基层工作经历的人员,不限,宣传和信息化处,1710035,主任科员及以下,负责民政新闻宣传、日常公文的起草、处理等工作,能够适应高强度工作，具有较强的文字综合能力及组织协调能力,,False,0,False,0,1
35,"法学,社会学,心理学  ","法学类,社会学,心理学类 ",综合管理,二年,学士,本科及以上,36,1,市民政局,具有两年以上基层工作经历的人员,不限,老龄工作处,1710036,主任科员及以下,从事本市老龄工作政策调研，以及各类日常公文的起草、处理等工作，参与区老龄工作指导,能够适应高强度工作，具有较强的文字综合能力及组织协调能力,具有基础老龄工作经历者优先 ,False,0,False,0,1
36,"法学,社会学,心理学  ","法学类,社会学,心理学类 ",综合管理,二年,学士,本科及以上,37,1,市民政局,具有两年以上基层工作经历的人员,不限,基层政权和社区建设处,1710037,主任科员及以下,从事本市基层政权和社区建设政策调研，以及各类日常公文的起草、处理等工作，参与区、街镇相关工作指导,能够适应高强度工作，具有较强的文字综合能力及组织协调能力,具有社会工作、基层政权建设工作经历者优先 ,False,0,False,0,1
37,,"法学类,中国语言文学类 ",政法,二年,硕士,硕士研究生,38,5,市司法局,具有两年以上基层工作经历的人员,中共党员或共青团员,市司法局,1710038,副主任科员,从事法律服务管理工作。,,具有法律职业资格证书者优先。 ,False,0,False,0,5
38,"会计学,财务管理 ","会计学,工商管理类 ",财务管理,二年,学士,本科及以上,39,2,市司法局,具有两年以上基层工作经历的人员,中共党员或共青团员,市司法局,1710039,副主任科员或科员,从事财务管理工作。,具有助理会计师资格证书。,,False,0,False,0,2
39,"法学类,中国语言文学类 ",,政法,二年,学士,本科,40,5,市司法局,具有两年以上基层工作经历的人员,中共党员或共青团员,市司法局,1710040,科员,从事综合管理工作。,,具有法律职业资格证书者优先。 ,False,0,False,0,5
40,"经济学,法学,公共管理类  ","经济学,法学,公共管理类 ",综合管理,二年,学士,本科及以上,41,2,市人力资源社会保障局,具有两年以上基层工作经历的人员,中共党员,政策研究室,1710041,主任科员及以下职位,从事人力资源和社会保障政策研究、文稿起草、课题调研、报告撰写等相关工作。,具备较强的调查研究能力、综合分析能力和文字功底。,1、专业条件：增加数学、统计学。2、男性优先。 ,False,0,True,2,2
41,不限 ,不限 ,综合管理,二年,学士,本科及以上,42,1,市住房和城乡建设委,具有两年以上基层工作经历的人员,中共党员,干部人事处,1710042,干部人事综合管理主任科员及以下,从事干部人事综合管理工作。,有较强的文字综合能力和组织协调能力。,从事过干部人事管理工作优先。 ,False,0,False,0,1
42,不限 ,不限 ,综合管理,二年,学士,本科及以上,43,1,市住房和城乡建设委,具有两年以上基层工作经历的人员,中共党员,机关党委,1710043,主任科员及以下,从事机关党建相关工作。,具有较好的组织协调沟通能力和较强的文字写作能力，熟悉电脑操作，工作责任心强。,,False,0,False,0,1
43,"土木工程,环境工程 ",,城市建设管理,二年,学士,本科,44,1,市住房和城乡建设委,具有两年以上基层工作经历的人员,不限,综合计划处,1710044,综合计划管理主任科员及以下,负责行政事业性收费管理工作；负责燃气行业特许经营相关管理工作，参与城市基础设施特许经营管理政策研究；负责对外经贸合作与对口支援工作等。,具有较强的事业心、责任感和踏实的工作作风，具有较强的文字能力、协调能力和学习能力。需5年工作经历。,有住房和城乡建设相关工作经历者优先。 ,False,0,False,0,1
44,"建筑学,城乡规划 ",不限 ,城市建设管理,二年,学士,本科及以上,45,1,市住房和城乡建设委,具有两年以上基层工作经历的人员,不限,村镇建设处,1710045,主任科员及以下,从事历史文化建筑和风貌区保护管理等政策研究工作。,熟悉历史建筑和风貌区保护管理或城市规划理论，有较强文字和政策研究能力。,有历史建筑和风貌区保护管理政策研究经验者优先。 ,False,0,False,0,1
45,"管理学,工学 ",,城市建设管理,二年,学士,本科,46,1,市住房和城乡建设委,具有两年以上基层工作经历的人员,不限,设施管理处（燃气处）,1710046,地下管线管理及内勤主任科员及以下,掘路计划管理，管线保护和监察，管线事故应急处置。收发文内业管理。,熟悉相关政策法规、技术工作，有较强的协调能力和文字能力。,,False,0,False,0,1
46,,法学类 ,综合管理,二年,硕士,硕士研究生,47,1,市住房和城乡建设委,具有两年以上基层工作经历的人员,中共党员,住房保障管理处,1710047,共有产权保障住房管理主任科员及以下,从事本市共有产权保障住房供后管理工作，拟订政策法规，对基层工作进行业务指导和监督。,具有较强的文字表达和调研能力，具有较强的组织协调能力。,专业要求：房地产，法律。熟悉相关政策法规者优先。 ,False,0,False,0,1
47,,结构工程 ,城市建设管理,二年,硕士,硕士研究生,48,1,市住房和城乡建设委,具有两年以上基层工作经历的人员,中共党员,住房配套管理处,1710048,配套建设监管主任科员及以下,起草拟订配套建设管理政策，协调监管配套设施的建设管理。,了解住宅配套建设管理政策法规及相关管理要求，有一定的文字能力和基层专业工作经验。,,False,0,False,0,1
48,"建筑类,给排水科学与工程 ","建筑学类,供热、供燃气、通风及空调工程 ",综合管理,二年,学士,本科及以上,49,1,市住房和城乡建设委,具有两年以上基层工作经历的人员,不限,物业管理处,1710049,房屋设施设备管理主任科员及以下,制定房屋设施设备日常维护管理相关制度；协调解决设施设备管理中的问题；推进房屋设施设备更新改造工作。,熟悉物业管理和房屋设施设备专业管理的政策法规，对房屋设施设备（如电梯、消防、监控等）日常维护管理具有一定经验。具有房屋行政管理或物业管理、房地产开发实务经验者优先。,专业要求：建筑工程、供热通风与空调工程、给排水工程、工业设备安装工程等相关专业 ,False,0,False,0,1
49,法学类 ,法学类 ,政法,二年,学士,本科及以上,50,1,市住房和城乡建设委,具有两年以上基层工作经历的人员,不限,旧区改造和房屋征收监管处,1710050,房屋征收与依法行政管理主任科员及以下,负责全市国有土地上房屋征收政策法规监管，相关信息公开、行政复议、行政诉讼等工作。,熟悉行政法律法规及房屋征收相关政策文件，有一定的法律实务能力。,政治面貌：中共党员优先 ,False,0,False,0,1
50,"法学类,经济学类,公共管理类  ","法学类,经济学,公共管理类 ",综合管理,二年,学士,本科及以上,51,1,市住房和城乡建设委,具有两年以上基层工作经历的人员,中共党员,信访办公室,1710051,主任科员及以下,从事本市住房城乡建设管理领域信访受理办理、信访稳定等工作。,具有突出矛盾化解协调工作经验，熟悉有关政策、法规，具备较强文字表达、综合分析和沟通协调能力，具有奉献精神和吃苦耐劳精神。需5年工作经历。,,False,0,False,0,1
51,"财务管理,会计学 ",不限 ,综合管理,二年,学士,本科及以上,52,1,市环保局,具有两年以上基层工作经历的人员,不限,办公室（环境保护宣传教育处、应急办公室）,1710052,主任科员及以下,财务管理岗位，从事预算、决算、内部审计、资产及资金管理、财务制度落实等相关工作。,有较强的组织协调能力、行政管理能力，有吃苦精神。,具有2年以上财务工作经历。 ,False,0,False,0,1
52,,工学 ,城市建设管理,二年,硕士,硕士研究生及以上,53,1,市环保局,具有两年以上基层工作经历的人员,中共党员,办公室（环境保护宣传教育处、应急办公室）,1710053,主任科员以下,环境信访调处。,具有较强的行政管理能力，良好的组织协调和较强的文字表达能力。,具有5年以上环境保护从业经历。 ,False,0,False,0,1
53,"法学,环境科学与工程类 ",法学类 ,综合管理,二年,学士,本科及以上,54,2,市环保局,具有两年以上基层工作经历的人员,不限,政策法规处,1710054,主任科员及以下,环境立法、环保法制宣传，现场执法监督等相关工作。,有较强的组织协调、行政管理能力，具有吃苦精神。,具有环境保护从业经历，有法制工作背景和较好工作实绩的优先考虑。 ,False,0,False,0,2
54,,环境科学与工程类 ,城市建设管理,二年,硕士,硕士研究生及以上,55,2,市环保局,具有两年以上基层工作经历的人员,不限,科技标准处,1710055,主任科员及以下,组织制定环境标准、技术规范及污染源现场实测数据采集和分析等相关工作。,有较强的组织协调、行政管理能力，具有吃苦精神。,具有环境保护从业经历，有较好工作实绩的优先考虑。 ,False,0,False,0,2
55,环境科学与工程类 ,不限 ,城市建设管理,二年,学士,本科及以上,56,2,市环保局,具有两年以上基层工作经历的人员,不限,污染防治处,1710056,主任科员及以下,污染源综合管理、环境综合整治、与环境污染相关信访现场调处。,有较强的组织协调、行政管理能力，具有吃苦精神。,具有环境保护从业经历，有较好工作实绩的优先考虑。 ,False,0,False,0,2
56,环境科学与工程类 ,不限 ,城市建设管理,二年,学士,本科及以上,57,2,市环保局,具有两年以上基层工作经历的人员,不限,水环境和自然生态保护处,1710057,主任科员及以下,负责水环境管理、流域污染防治、水环境重大污染事故调查和处理工作等。,有较强的组织协调能力、行政管理能力，具有吃苦精神。,具有环境保护从业经历，有较好工作实绩的优先考虑。 ,False,0,False,0,2
57,"建筑类,交通工程 ","建筑学类,交通运输规划与管理,区域经济学 ",城市建设管理,二年,学士,本科及以上,58,2,市规划国土资源局,具有两年以上基层工作经历的人员,不限,内部处室,1710058,规划管理职位主任科员及以下,从事城市规划管理等相关业务工作。,有较强的组织协调能力、分析研究能力，以及文字和口头表达能力。有两年以上城市规划管理或设计相关工作经历。,本科阶段建筑类专业限建筑学、城乡规划、风景园林、历史建筑保护工程。研究生阶段建筑学类专业限城市规划与设计、建筑设计及其理论。 ,False,0,False,0,2
58,"法学,土地资源管理,测绘类  ","土地资源管理,法学类,测绘科学与技术类 ",城市建设管理,二年,学士,本科及以上,59,2,市规划国土资源局,具有两年以上基层工作经历的人员,不限,内部处室,1710059,土地管理职位主任科员及以下,从事土地管理等相关业务工作。,有较强的组织协调能力、分析研究能力，以及文字和口头表达能力。有两年以上土地管理或测绘管理相关工作经历。,本科阶段法学专业限民商法、经济法。研究生阶段法学类专业限经济法学、民商法学。 ,False,0,False,0,2
59,法学 ,"宪法学与行政法学,民商法学,经济法学 ",政法,二年,学士,本科及以上,60,2,市规划国土资源局,具有两年以上基层工作经历的人员,不限,内部处室,1710060,不动产登记管理职位主任科员及以下,从事政策法规研究、合法性审查及行政复议、行政诉讼等相关工作。,有较强的组织协调能力，以及文字和口头表达能力。有两年以上法务管理相关工作经历，熟悉不动产登记业务优先。,本科阶段法学专业限民商法、经济法或行政法。 ,False,0,False,0,2
60,"法学,行政管理 ","民商法学,经济法学,行政管理 ",综合管理,二年,学士,本科及以上,61,1,市规划国土资源局,具有两年以上基层工作经历的人员,不限,内部处室,1710061,综合管理职位主任科员及以下,从事行政管理等相关工作。,有较强的组织协调能力，以及文字和口头表达能力。有两年以上行政管理相关工作经历。,,False,0,False,0,1
61,"计算机科学与技术,地理信息科学 ","计算机科学与技术类,计算机应用技术,地图学与地理信息系统 ",信息管理,二年,学士,本科及以上,62,1,市规划国土资源局,具有两年以上基层工作经历的人员,不限,内部处室,1710062,综合管理职位主任科员及以下,从事信息管理等相关工作。,有较强的组织协调能力，以及文字和口头表达能力。有两年以上信息管理相关工作经历。,,False,0,False,0,1
62,"汉语言文学,新闻学 ","汉语言文字学,新闻学 ",综合管理,二年,学士,本科及以上,63,1,市水务局(海洋局),具有两年以上基层工作经历的人员,中共党员,政策法规处（社会宣传处）,1710063,科员,主要负责新闻宣传、文化建设等工作。,有较强的文字写作能力；有一定摄影摄像相关基础。,,False,0,False,0,1
63,,"财政学,会计学 ",财务管理,二年,硕士,硕士研究生,64,1,市文广影视局,具有两年以上基层工作经历的人员,中共党员,财务处,1710064,文广财务管理主任科员及以下,协助承担文广影视财务管理工作,有财务管理工作经验，熟悉预算、财务、税务工作，具有较强的文字写作能力和日常公文处理能力，且能独立承担财务处专业课题研究与撰文。,具有财务专业中级或初级职称者优先。 ,False,0,False,0,1
64,"中国语言文学类,新闻传播学类,法学类  ","中国语言文学类,新闻传播学类,法学类 ",综合管理,二年,学士,本科及以上,65,1,市文广影视局,具有两年以上基层工作经历的人员,不限,广电处,1710065,境外卫星电视传播秩序管理主任科员及以下,境外卫星电视传播秩序管理。,有文化广播影视行业工作经历，熟悉境外卫星电视工作，具有较强的组织协调能力。,,False,0,False,0,1
65,"文化产业管理,戏剧与影视学类 ","艺术学类,行政管理 ",综合管理,二年,学士,本科及以上,66,1,市文广影视局,具有两年以上基层工作经历的人员,不限,电影处,1710066,电影市场管理主任科员及以下,协助承担电影市场管理工作。,具有较高的计算机操作水平，熟悉相关的法规和制度，有一定的影视从业经验，具有较强的文字写作能力和语言表达能力。,,False,0,False,0,1
66,"公共卫生与预防医学类,公共事业管理 ",,综合管理,二年,学士,本科,67,1,市卫生计生委,具有两年以上基层工作经历的人员,中共党员,食品安全标准与评估处,1710067,食品安全风险监测评估职科员,负责组织拟定和实施本市食品安全风险监测、评估工作方案，负责汇总、分析和通报食品安全风险监测、评估结果和信息，组织实施食品安全风险交流，负责食源性疾病监测管理。,"英语国家四级考试合格,计算机办公软件操作熟练，本科阶段公共事业管理专业为卫生方向，有较强沟通协调和组织能力，具备食品安全风险监测评估实际工作经历和经验。",,False,0,False,0,1
67,,公共卫生与预防医学类 ,综合管理,二年,硕士,硕士研究生,68,1,市卫生计生委,具有两年以上基层工作经历的人员,不限,妇幼保健处,1710068,技术服务职副主任科员及以下,负责出生人口性别比综合治理，完善计划生育技术服务政策，推进生殖健康促进和再生育相关医学鉴定工作，完成条线相关数据统计、分析和报告工作。,"本科阶段要求公共卫生与预防医学类专业，英语国家六级考试合格,计算机办公软件操作熟练，较强的沟通协调能力，具有相关工作经历和经验者优先。",,False,0,False,0,1
